instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Noise
16792,2012-12-07,4,1,12,10,0,5,1,2,0.32,0.3182,0.76,0.1642,16,150,166,0
10934,2011-01-01,5,2,8,23,1,1,2,4,0.95,0.35,1.44,0.99,317,569,644,1
11026,2012-04-09,2,1,4,13,0,1,1,1,0.54,0.5152,0.28,0.5821,108,173,281,0
1255,2011-02-25,1,0,2,10,0,5,1,3,0.42,0.4242,0.94,0.3284,7,42,49,0
727,2011-02-02,1,0,2,15,0,3,1,1,0.38,0.3939,0.76,0.3284,10,66,76,0
6721,2011-10-12,4,0,10,14,0,3,1,3,0.54,0.5152,0.94,0.2836,8,70,78,0
9156,2012-01-22,1,1,1,9,0,0,0,2,0.16,0.1515,0.74,0.2239,9,54,63,0
12940,2012-06-28,3,1,6,8,0,4,1,1,0.66,0.6212,0.5,0.1343,40,577,617,0
12007,2012-05-20,2,1,5,11,0,0,0,1,0.66,0.6212,0.36,0.3284,258,323,581,0
15869,2012-10-28,4,1,10,9,0,0,0,2,0.5,0.4848,0.55,0.4179,124,206,330,0
11979,2012-05-19,2,1,5,7,0,6,0,1,0.46,0.4545,0.67,0.1045,28,67,95,0
6716,2011-10-12,4,0,10,9,0,3,1,2,0.54,0.5152,0.88,0.4478,14,183,197,0
25447,2011-01-01,3,2,5,11,2,9,2,3,1.43,1.34,1.07,0.09,157,96,470,1
9661,2011-01-01,1,0,1,31,1,1,1,3,0.51,0.59,0.94,0.61,192,466,131,1
12596,2012-06-14,2,1,6,0,0,4,1,1,0.6,0.6212,0.53,0.2985,3,45,48,0
9051,2011-01-01,1,1,5,5,0,2,1,1,1.17,0.51,1.0,1.1,269,961,194,1
13096,2012-07-04,3,1,7,20,1,3,0,1,0.86,0.803,0.47,0.2239,237,314,551,0
11789,2012-05-11,2,1,5,9,0,5,1,1,0.48,0.4697,0.41,0.2985,34,288,322,0
4484,2011-07-10,3,0,7,17,0,0,0,1,0.84,0.7424,0.36,0.2239,146,217,363,0
6898,2011-10-20,4,0,10,0,0,4,1,1,0.56,0.5303,0.94,0.2985,4,22,26,0
6956,2011-10-22,4,0,10,10,0,6,0,2,0.44,0.4394,0.62,0.1045,87,149,236,0
16420,2012-11-21,4,1,11,21,0,3,1,1,0.36,0.3788,0.5,0,8,97,105,0
2541,2011-04-20,2,0,4,18,0,3,1,1,0.74,0.6515,0.3,0.3582,56,385,441,0
15772,2012-10-24,4,1,10,8,0,3,1,2,0.52,0.5,0.83,0.1045,24,777,801,0
6075,2011-01-01,2,1,5,21,0,4,2,1,1.18,0.93,0.31,1.19,535,1083,916,1
25089,2011-01-01,5,2,6,17,0,0,1,2,0.76,0.51,1.4,1.21,372,220,1045,1
16349,2012-11-18,4,1,11,22,0,0,0,2,0.36,0.3333,0.66,0.2537,8,66,74,0
8564,2011-12-28,1,0,12,14,0,3,1,1,0.32,0.2879,0.39,0.3881,24,96,120,0
3093,2011-05-13,2,0,5,18,0,5,1,3,0.52,0.5,0.88,0.1642,39,359,398,0
14916,2012-09-18,3,1,9,16,0,2,1,3,0.6,0.5455,0.88,0.2985,19,122,141,0
1917,2011-03-25,2,0,3,15,0,5,1,2,0.34,0.3182,0.36,0.2537,43,79,122,0
11651,2012-05-05,2,1,5,15,0,6,0,3,0.66,0.6212,0.74,0.194,241,300,541,0
12086,2012-05-23,2,1,5,18,0,3,1,3,0.64,0.6061,0.69,0.1045,31,296,327,0
21432,2011-01-01,5,2,5,30,1,2,1,6,0.62,0.69,1.25,0.69,454,289,416,1
3241,2011-01-01,3,2,18,33,0,8,1,4,1.46,0.31,1.19,1.11,97,780,553,1
12362,2012-06-04,2,1,6,6,0,1,1,1,0.52,0.5,0.68,0,4,135,139,0
16536,2012-11-26,4,1,11,17,0,1,1,1,0.42,0.4242,0.32,0,13,540,553,0
8962,2012-01-14,1,1,1,6,0,6,0,1,0.14,0.1515,0.5,0,0,5,5,0
11043,2012-04-10,2,1,4,6,0,2,1,1,0.34,0.3485,0.71,0.1045,3,100,103,0
1321,2011-02-28,1,0,2,7,0,1,1,2,0.36,0.3636,0.93,0.1045,2,90,92,0
11882,2011-01-01,0,0,10,17,1,3,2,4,1.07,1.35,1.39,0.79,288,122,565,1
11209,2012-04-17,2,1,4,5,0,2,1,1,0.6,0.6212,0.53,0.2537,1,29,30,0
13623,2012-07-26,3,1,7,19,0,4,1,1,0.9,0.8636,0.45,0.3284,80,534,614,0
8085,2011-12-08,4,0,12,12,0,4,1,1,0.28,0.2576,0.52,0.3284,8,148,156,0
3278,2011-05-21,2,0,5,11,0,6,0,1,0.64,0.6212,0.53,0.1343,173,245,418,0
7678,2011-01-01,3,1,12,29,1,4,1,5,1.19,0.53,0.85,1.19,123,1292,1279,1
13630,2012-07-27,3,1,7,2,0,5,1,1,0.7,0.6667,0.79,0.1343,8,18,26,0
21588,2011-01-01,2,2,13,9,2,7,0,0,0.3,1.13,0.27,0.74,408,1295,323,1
10064,2011-01-01,0,0,3,27,0,0,2,1,0.24,0.25,1.02,0.26,342,115,949,1
1896,2011-03-24,2,0,3,18,0,4,1,2,0.3,0.2727,0.61,0.2985,17,197,214,0
14367,2012-08-26,3,1,8,19,0,0,0,2,0.64,0.5758,0.89,0.1642,80,212,292,0
12516,2012-06-10,2,1,6,16,0,0,0,1,0.84,0.7424,0.36,0.2836,173,335,508,0
8275,2011-12-16,4,0,12,10,0,5,1,1,0.34,0.303,0.46,0.2985,10,122,132,0
10230,2011-01-01,4,1,1,29,0,1,2,3,0.44,1.26,0.76,0.06,400,540,990,1
16739,2012-12-05,4,1,12,5,0,3,1,1,0.5,0.4848,0.59,0.2836,1,48,49,0
8398,2011-12-21,1,0,12,13,0,3,1,3,0.44,0.4394,0.94,0.2985,3,55,58,0
15309,2011-01-01,1,1,8,11,2,2,1,4,0.91,0.74,0.57,0.73,295,47,620,1
3092,2011-05-13,2,0,5,17,0,5,1,3,0.52,0.5,0.88,0.1642,62,429,491,0
10050,2012-02-28,1,1,2,18,0,2,1,1,0.42,0.4242,0.28,0.1642,17,432,449,0
5016,2011-08-01,3,0,8,21,0,1,1,1,0.7,0.6515,0.7,0.2537,42,178,220,0
15722,2012-10-22,4,1,10,6,0,1,1,1,0.36,0.3636,0.76,0.0896,4,140,144,0
3622,2011-06-04,2,0,6,19,0,6,0,2,0.7,0.6364,0.39,0.0896,79,206,285,0
6094,2011-01-01,0,1,17,33,2,2,2,1,1.13,1.24,0.95,0.86,277,829,518,1
5092,2011-08-05,3,0,8,1,0,5,1,1,0.64,0.5909,0.78,0.0896,3,16,19,0
13554,2012-07-23,3,1,7,22,0,1,1,1,0.74,0.6818,0.62,0.194,40,169,209,0
3570,2011-06-02,2,0,6,15,0,4,1,1,0.8,0.6818,0.21,0.3881,44,144,188,0
7583,2011-11-17,4,0,11,13,0,4,1,2,0.34,0.303,0.49,0.4478,15,109,124,0
4637,2011-07-17,3,0,7,2,0,0,0,1,0.64,0.6061,0.69,0.2239,28,66,94,0
5168,2011-08-08,3,0,8,5,0,1,1,1,0.7,0.6667,0.79,0.0896,1,14,15,0
8151,2011-12-11,4,0,12,6,0,0,0,1,0.16,0.2273,0.59,0,0,10,10,0
1858,2011-03-23,2,0,3,3,0,3,1,2,0.34,0.3182,0.76,0.2537,0,3,3,0
12029,2012-05-21,2,1,5,9,0,1,1,3,0.56,0.5303,0.88,0.2239,14,172,186,0
15724,2012-10-22,4,1,10,8,0,1,1,1,0.44,0.4394,0.67,0,32,696,728,0
12172,2011-01-01,3,1,10,19,1,9,1,4,1.01,0.23,1.43,0.97,211,523,362,1
3522,2011-05-31,2,0,5,15,0,2,1,1,0.9,0.8182,0.37,0.1642,42,133,175,0
13303,2012-07-13,3,1,7,11,0,5,1,2,0.76,0.6818,0.45,0.1343,68,220,288,0
3810,2011-06-12,2,0,6,15,0,0,0,1,0.8,0.7727,0.59,0.2985,142,218,360,0
5026,2011-08-02,3,0,8,7,0,2,1,1,0.72,0.6667,0.61,0.2836,15,320,335,0
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,0
5537,2011-08-23,3,0,8,14,0,2,1,1,0.72,0.6515,0.3,0.0896,149,502,651,0
17007,2012-12-16,4,1,12,9,0,0,0,2,0.36,0.3485,0.87,0.1343,19,113,132,0
20684,2011-01-01,6,2,3,13,1,1,1,0,0.41,0.75,0.13,1.01,317,880,1366,1
25141,2011-01-01,3,1,11,28,2,5,1,5,0.96,0.27,0.25,0.41,67,12,1215,1
11676,2012-05-06,2,1,5,16,0,0,0,2,0.62,0.6061,0.61,0,181,363,544,0
1151,2011-01-01,0,0,13,21,2,5,1,6,1.5,0.34,0.63,0.48,219,625,1177,1
10120,2012-03-02,1,1,3,17,0,5,1,3,0.36,0.3485,0.81,0.2239,5,123,128,0
860,2011-02-08,1,0,2,6,0,2,1,1,0.26,0.2273,0.7,0.3284,0,39,39,0
6038,2011-09-14,3,0,9,3,0,3,1,1,0.6,0.5455,0.88,0.1343,1,7,8,0
11350,2012-04-23,2,1,4,2,0,1,1,2,0.32,0.303,0.87,0.3284,1,3,4,0
16481,2012-11-24,4,1,11,10,0,6,0,2,0.26,0.2273,0.44,0.2985,46,96,142,0
911,2011-02-10,1,0,2,11,0,4,1,1,0.14,0.1212,0.39,0.3582,1,44,45,0
3380,2011-05-25,2,0,5,17,0,3,1,1,0.74,0.6667,0.51,0.2239,77,524,601,0
15256,2012-10-02,4,1,10,20,0,2,1,3,0.62,0.5455,0.94,0.1343,20,286,306,0
14136,2012-08-17,3,1,8,4,0,5,1,1,0.64,0.2424,0.73,0.1642,0,9,9,0
2781,2011-04-30,2,0,4,18,0,6,0,1,0.54,0.5152,0.43,0.1343,134,237,371,0
9749,2012-02-16,1,1,2,3,0,4,1,2,0.3,0.3333,0.61,0,0,1,1,0
4599,2011-01-01,2,1,14,16,2,1,0,6,0.25,0.07,0.05,0.46,46,960,449,1
1458,2011-03-06,1,0,3,0,0,0,0,2,0.42,0.4242,0.77,0.3582,11,41,52,0
8255,2011-12-15,4,0,12,14,0,4,1,2,0.52,0.5,0.52,0.3284,8,124,132,0
536,2011-01-24,1,0,1,11,0,1,1,1,0.1,0.1212,0.46,0.1343,3,43,46,0
10495,2012-03-18,1,1,3,9,0,0,0,2,0.42,0.4242,0.88,0.0896,65,113,178,0
14263,2012-08-22,3,1,8,11,0,3,1,1,0.72,0.6667,0.58,0.0896,71,196,267,0
13752,2012-08-01,3,1,8,4,0,3,1,2,0.64,0.5909,0.78,0.1343,1,3,4,0
15089,2012-09-25,4,1,9,21,0,2,1,1,0.6,0.6212,0.56,0.2985,34,263,297,0
6945,2011-01-01,1,0,1,4,2,5,0,0,0.11,0.03,1.37,0.49,522,1090,389,1
8295,2011-12-17,4,0,12,6,0,6,0,2,0.26,0.2424,0.56,0.2836,0,17,17,0
10567,2012-03-21,2,1,3,9,0,3,1,2,0.5,0.4848,0.88,0.1642,38,255,293,0
12933,2011-01-01,3,1,11,13,1,7,2,4,0.61,0.53,0.4,0.86,218,1160,588,1
608,2011-01-28,1,0,1,13,0,5,1,3,0.18,0.2121,0.93,0.1045,0,31,31,0
783,2011-02-05,1,0,2,1,0,6,0,2,0.24,0.2424,0.65,0.1642,1,17,18,0
14805,2012-09-14,3,1,9,1,0,5,1,1,0.56,0.5303,0.73,0.0896,6,35,41,0
6622,2011-10-08,4,0,10,11,0,6,0,1,0.58,0.5455,0.56,0,176,221,397,0
1983,2011-03-28,2,0,3,11,0,1,1,2,0.26,0.2424,0.3,0.2836,18,39,57,0
25678,2011-01-01,2,0,18,13,1,5,1,4,0.32,0.66,1.3,0.53,60,1063,367,1
5959,2011-01-01,5,1,1,20,1,0,1,1,0.44,0.3,0.33,0.03,7,1179,266,1
4203,2011-06-29,3,0,6,0,0,3,1,2,0.68,0.6364,0.79,0.2836,11,25,36,0
13584,2012-07-25,3,1,7,4,0,3,1,1,0.64,0.6061,0.65,0.2239,0,4,4,0
9017,2011-01-01,6,0,9,12,1,7,1,4,0.81,0.26,0.92,0.72,222,1154,1323,1
11966,2011-01-01,2,0,4,6,1,8,2,2,1.14,0.77,0.61,1.15,102,1233,1385,1
5596,2011-08-26,3,0,8,1,0,5,1,1,0.62,0.5758,0.83,0,10,13,23,0
1176,2011-02-21,1,0,2,18,1,1,0,2,0.24,0.2121,0.87,0.3582,2,64,66,0
11827,2012-05-12,2,1,5,23,0,6,0,1,0.58,0.5455,0.56,0.0896,42,134,176,0
13483,2012-07-20,3,1,7,23,0,5,1,2,0.62,0.5758,0.83,0.2836,18,148,166,0
11898,2012-05-15,2,1,5,22,0,2,1,1,0.58,0.5455,0.78,0.2239,9,74,83,0
2868,2011-05-04,2,0,5,9,0,3,1,3,0.34,0.303,0.93,0.3582,5,35,40,0
13495,2012-07-21,3,1,7,11,0,6,0,2,0.6,0.5606,0.83,0.2537,80,225,305,0
9476,2011-01-01,2,0,17,21,0,6,1,4,0.38,1.14,0.06,0.57,295,929,65,1
10677,2011-01-01,1,0,8,2,2,0,0,4,0.66,0.14,0.86,0.45,142,411,1138,1
21505,2011-01-01,0,0,9,19,2,2,2,0,0.55,0.46,0.84,1.14,463,672,630,1
11374,2012-04-24,2,1,4,2,0,2,1,1,0.32,0.3182,0.81,0.194,0,3,3,0
14134,2012-08-17,3,1,8,2,0,5,1,1,0.66,0.2424,0.61,0.1343,4,15,19,0
4903,2011-07-28,3,0,7,4,0,4,1,1,0.7,0.6515,0.61,0.1045,0,6,6,0
9740,2012-02-15,1,1,2,18,0,3,1,1,0.4,0.4091,0.4,0.2239,9,459,468,0
13797,2012-08-03,3,1,8,1,0,5,1,1,0.7,0.6667,0.74,0.194,11,32,43,0
14775,2011-01-01,6,0,18,30,2,2,2,5,0.3,1.14,0.68,0.23,271,415,969,1
18315,2011-01-01,4,2,14,10,1,4,0,6,0.99,0.16,0.76,0.07,222,1260,1415,1
14730,2012-09-10,3,1,9,22,0,1,1,1,0.54,0.5152,0.52,0.1343,15,144,159,0
14921,2012-09-18,3,1,9,21,0,2,1,2,0.6,0.5455,0.88,0.194,21,186,207,0
14475,2012-08-31,3,1,8,7,0,5,1,2,0.64,0.5758,0.89,0.0896,21,400,421,0
12277,2012-05-31,2,1,5,17,0,4,1,1,0.76,0.6667,0.31,0.1642,85,742,827,0
10701,2012-03-26,2,1,3,23,0,1,1,1,0.34,0.2879,0.25,0.5224,2,46,48,0
16843,2012-12-09,4,1,12,13,0,0,0,2,0.38,0.3939,0.87,0.2836,65,220,285,0
1003,2011-01-01,4,2,6,5,0,8,0,5,0.19,0.59,0.61,1.2,338,590,657,1
14604,2011-01-01,3,1,1,33,2,1,0,2,0.15,0.97,0.21,0.81,354,647,438,1
12243,2012-05-30,2,1,5,7,0,3,1,3,0.6,0.5758,0.78,0.194,14,469,483,0
12321,2012-06-02,2,1,6,13,0,6,0,1,0.62,0.6212,0.41,0.2537,279,400,679,0
20865,2011-01-01,6,2,3,11,1,1,2,0,0.34,0.38,1.22,0.66,251,1041,813,1
1136,2011-01-01,4,2,12,4,0,0,2,1,1.13,0.67,1.19,0.52,146,901,516,1
9370,2012-01-31,1,1,1,7,0,2,1,1,0.26,0.2576,0.6,0.194,6,273,279,0
15260,2012-10-03,4,1,10,0,0,3,1,3,0.62,0.5455,0.94,0,5,47,52,0
11499,2012-04-29,2,1,4,7,0,0,0,2,0.34,0.3333,0.87,0.1343,7,20,27,0
8691,2012-01-02,1,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836,3,36,39,0
14251,2012-08-21,3,1,8,23,0,2,1,1,0.62,0.5758,0.83,0,23,113,136,0
8419,2011-12-22,1,0,12,10,0,4,1,2,0.4,0.4091,0.82,0.0896,13,128,141,0
13227,2011-01-01,4,1,4,23,1,3,2,2,0.11,0.12,1.23,1.22,387,1050,778,1
7849,2011-01-01,4,0,6,21,2,3,2,6,1.02,1.36,0.6,1.14,290,167,1013,1
4319,2011-07-03,3,0,7,20,0,0,0,3,0.66,0.6061,0.83,0,83,93,176,0
14744,2012-09-11,3,1,9,12,0,2,1,1,0.64,0.6212,0.33,0,62,254,316,0
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,0
3954,2011-06-18,2,0,6,15,0,6,0,2,0.82,0.7576,0.46,0.1343,153,214,367,0
13229,2012-07-10,3,1,7,9,0,2,1,1,0.74,0.697,0.66,0.1343,47,284,331,0
20100,2011-01-01,6,0,0,14,0,5,0,0,1.41,0.27,0.83,0.66,282,952,764,1
19558,2011-01-01,1,0,18,15,2,9,2,3,0.28,1.47,1.3,0.81,411,345,1007,1
7196,2011-11-01,4,0,11,10,0,2,1,1,0.44,0.4394,0.62,0.1343,21,114,135,0
8289,2011-12-17,4,0,12,0,0,6,0,1,0.3,0.2879,0.49,0.2836,3,59,62,0
1466,2011-03-06,1,0,3,9,0,0,0,2,0.42,0.4242,1,0.2836,4,18,22,0
12767,2012-06-21,3,1,6,3,0,4,1,1,0.72,0.697,0.74,0,3,8,11,0
7175,2011-10-31,4,0,10,13,0,1,1,2,0.44,0.4394,0.44,0.2239,24,128,152,0
13438,2012-07-19,3,1,7,2,0,4,1,1,0.72,0.6818,0.7,0.194,0,7,7,0
13555,2012-07-23,3,1,7,23,0,1,1,1,0.72,0.6818,0.66,0.1642,16,98,114,0
10741,2012-03-28,2,1,3,15,0,3,1,2,0.62,0.6212,0.41,0.2985,47,152,199,0
9706,2012-02-14,1,1,2,8,0,2,1,2,0.24,0.2879,0.7,0,3,510,513,0
2655,2011-04-25,2,0,4,12,0,1,1,1,0.66,0.6212,0.74,0.2537,48,140,188,0
10156,2011-01-01,0,1,13,17,1,3,2,0,0.63,0.91,0.41,1.01,316,32,1358,1
7560,2011-11-16,4,0,11,14,0,3,1,2,0.46,0.4545,1,0.1343,12,49,61,0
6382,2011-09-28,4,0,9,11,0,3,1,2,0.66,0.6061,0.83,0.1045,24,127,151,0
7052,2011-10-26,4,0,10,10,0,3,1,2,0.52,0.5,0.62,0.2537,26,105,131,0
6084,2011-09-16,3,0,9,1,0,5,1,1,0.42,0.4242,0.67,0.194,7,19,26,0
7492,2011-11-13,4,0,11,18,0,0,0,1,0.52,0.5,0.27,0.3284,35,155,190,0
5863,2011-09-06,3,0,9,18,0,2,1,2,0.54,0.5152,0.88,0.3881,22,351,373,0
10746,2012-03-28,2,1,3,20,0,3,1,1,0.6,0.6212,0.56,0.2985,38,324,362,0
20228,2011-01-01,4,1,7,17,1,3,0,5,1.14,1.19,0.38,0.55,479,926,1326,1
15790,2012-10-25,4,1,10,2,0,4,1,1,0.54,0.5152,0.77,0,3,15,18,0
4318,2011-07-03,3,0,7,19,0,0,0,2,0.66,0.6061,0.83,0.194,100,83,183,0
5018,2011-08-01,3,0,8,23,0,1,1,1,0.68,0.6364,0.74,0.194,14,82,96,0
16201,2012-11-12,4,1,11,18,1,1,0,1,0.52,0.5,0.72,0.1343,65,486,551,0
3745,2011-06-09,2,0,6,22,0,4,1,2,0.74,0.6818,0.58,0.1642,22,131,153,0
6368,2011-09-27,4,0,9,21,0,2,1,1,0.6,0.5606,0.83,0,17,179,196,0
17304,2012-12-28,1,1,12,20,0,5,1,2,0.24,0.2576,0.65,0.1045,14,83,97,0
3010,2011-05-10,2,0,5,7,0,2,1,2,0.44,0.4394,0.62,0.1343,13,301,314,0
11911,2012-05-16,2,1,5,11,0,3,1,1,0.7,0.6515,0.54,0.1343,55,212,267,0
4027,2011-01-01,6,1,13,29,1,5,1,3,0.02,1.1,1.11,0.19,512,655,1398,1
1856,2011-03-23,2,0,3,1,0,3,1,3,0.34,0.3182,0.76,0.2239,0,7,7,0
22783,2011-01-01,6,0,9,29,1,1,1,3,0.32,1.4,1.32,0.84,339,242,1042,1
16327,2012-11-18,4,1,11,0,0,0,0,2,0.3,0.303,0.7,0.1642,11,118,129,0
4384,2011-01-01,5,1,10,3,1,1,1,5,0.38,1.5,0.61,0.15,94,626,872,1
4339,2011-07-04,3,0,7,16,1,1,0,1,0.82,0.7424,0.41,0,236,216,452,0
3946,2011-06-18,2,0,6,7,0,6,0,1,0.64,0.5909,0.78,0.1343,12,45,57,0
13856,2012-08-05,3,1,8,12,0,0,0,1,0.86,0.803,0.47,0.5224,161,330,491,0
15069,2012-09-25,4,1,9,1,0,2,1,1,0.44,0.4394,0.72,0.1343,2,11,13,0
11117,2011-01-01,6,0,12,27,0,9,0,1,0.87,0.43,1.4,0.53,268,1179,962,1
24006,2011-01-01,4,0,11,2,2,6,2,4,0.89,0.91,1.31,0.98,279,104,1056,1
23979,2011-01-01,2,2,7,15,2,9,0,3,0.82,0.08,0.2,0.83,152,280,1465,1
9301,2012-01-28,1,1,1,10,0,6,0,1,0.26,0.2727,0.7,0.1343,27,164,191,0
12202,2011-01-01,2,0,7,7,0,3,0,2,0.7,0.36,0.26,0.5,308,35,149,1
4797,2011-07-23,3,0,7,18,0,6,0,1,0.92,0.8788,0.4,0.2239,62,134,196,0
15237,2012-10-02,4,1,10,1,0,2,1,2,0.54,0.5152,0.77,0.1045,0,11,11,0
10541,2012-03-20,1,1,3,7,0,2,1,3,0.52,0.5,0.94,0.2239,3,167,170,0
6053,2011-09-14,3,0,9,18,0,3,1,1,0.72,0.6818,0.62,0.1642,83,503,586,0
10444,2011-01-01,5,1,10,25,1,2,2,3,1.29,0.87,1.04,0.69,203,1026,760,1
10342,2011-01-01,1,1,2,33,0,4,2,2,1.07,0.2,0.42,0.38,344,621,1211,1
12494,2012-06-09,2,1,6,18,0,6,0,1,0.82,0.697,0.24,0.2239,175,276,451,0
6388,2011-09-28,4,0,9,17,0,3,1,1,0.7,0.6515,0.7,0.2239,64,527,591,0
1098,2011-02-18,1,0,2,11,0,5,1,1,0.44,0.4394,0.72,0.1642,31,82,113,0
12977,2012-06-29,3,1,6,21,0,5,1,2,0.86,0.8333,0.53,0.194,41,195,236,0
1019,2011-01-01,5,0,12,35,2,8,1,0,0.35,1.0,1.05,0.21,528,1206,1330,1
14707,2012-09-09,3,1,9,23,0,0,0,1,0.56,0.5303,0.52,0.2836,22,70,92,0
345,2011-01-01,5,2,6,21,1,6,2,1,0.73,1.2,1.0,0.91,487,821,532,1
14394,2011-01-01,6,2,16,12,0,2,1,5,0.88,0.52,1.03,0.51,511,1214,806,1
16786,2012-12-07,4,1,12,4,0,5,1,1,0.26,0.2727,0.75,0.1045,0,10,10,0
3639,2011-06-05,2,0,6,12,0,0,0,2,0.64,0.6061,0.69,0.1045,123,212,335,0
6946,2011-10-22,4,0,10,0,0,6,0,1,0.4,0.4091,0.62,0.194,16,80,96,0
1892,2011-03-24,2,0,3,14,0,4,1,2,0.3,0.303,0.7,0.1343,17,66,83,0
5846,2011-09-06,3,0,9,0,0,2,1,3,0.54,0.5152,0.94,0.3582,1,7,8,0
5939,2011-01-01,6,1,12,29,0,7,1,3,0.03,1.05,0.9,0.51,392,747,713,1
