instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_3,feature_y_3,feature_y_3
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,48,148877.0,4.315081398019611
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,76,343000.0,0.6385257158828442
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,6,804357.0,1.3877622922787505
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,45,421875.0,0.5402766739296717
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,40,205379.0,0.573028742574676
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,60,405224.0,1.4384569591461411
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,19,438976.0,0.869658074441806
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,32,274625.0,0.6445680044638951
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,8,148877.0,0.5026746699330502
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,31,27000.0,1.6779583343684343
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,22,10648.0,1.0089303546212294
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,69,29791.0,1.129668825806919
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,32,729.0,0.6445680044638951
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,5,512.0,24.34527915938213
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,56,125.0,2.09008693583188
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,5,8.0,24.34527915938213
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,63,1.0,0.8566369271513424
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,27,27.0,0.5111492047520422
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,90,27000.0,0.5279840346175494
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,70,262144.0,0.5637325966004665
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,91,3652264.0,0.9041693413125955
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,47,681472.0,0.8900177298266997
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,68,85184.0,9.796975387185967
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,27,132651.0,0.5111492047520422
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,29,226981.0,2.9729510585814833
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,47,226981.0,0.8900177298266997
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,8,456533.0,0.5026746699330502
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,82,373248.0,0.7614819393063025
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,31,438976.0,1.6779583343684343
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,36,3869893.0,121.63753475026189
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,97,3869893.0,0.7248437158702044
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,15,1331000.0,0.6059548980890475
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,85,140608.0,1.213703616753761
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,71,140608.0,0.5125433048899948
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,76,8000.0,0.6385257158828442
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,12,1728.0,2.15783677484981
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,83,125.0,0.5080359962611123
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,81,8.0,2.7018847930632726
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,70,1.0,0.5637325966004665
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,68,8.0,9.796975387185967
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,6,64.0,1.3877622922787505
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,63,46656.0,0.8566369271513424
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,39,830584.0,0.5092180208714154
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,67,5735339.0,6.921372193247372
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,84,1000000.0,0.5769706814181332
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,6,74088.0,1.3877622922787505
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,51,185193.0,0.5987202322070889
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,40,474552.0,0.573028742574676
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,64,912673.0,0.5208262701161901
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,71,250047.0,0.5125433048899948
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,74,274625.0,67.32311401195065
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,52,571787.0,0.503365605112174
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,62,9528128.0,3.8340720458680737
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,12,6028568.0,2.15783677484981
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,58,1404928.0,0.5017882105819239
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,52,157464.0,0.503365605112174
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,40,110592.0,0.573028742574676
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,0,42875.0,1.0
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,34,1331.0,0.6539868700870936
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,55,216.0,4084.5228050458813
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,69,216.0,1.129668825806919
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,39,8.0,0.5092180208714154
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,48,8.0,4.315081398019611
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,59,27.0,0.6109713317819904
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,58,35937.0,0.5017882105819239
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,51,681472.0,0.5987202322070889
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,22,7414875.0,1.0089303546212294
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,28,1520875.0,0.7868403851802712
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,99,185193.0,1260.7704250424647
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,66,97336.0,1.0272753459349424
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,98,493039.0,2.3440166611427986
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,63,357911.0,0.8566369271513424
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,3,238328.0,0.8763320184878719
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,11,238328.0,102109.07002447755
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,4,704969.0,4.111884294479769
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,4,6859000.0,4.111884294479769
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,28,4826809.0,0.7868403851802712
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,34,2299968.0,0.6539868700870936
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,76,704969.0,0.6385257158828442
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,8,79507.0,0.5026746699330502
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,10,74088.0,2.193083986739962
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,78,6859.0,0.6605113804923478
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,46,1331.0,0.5258208681509198
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,90,64.0,0.5279840346175494
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,1,8.0,0.5430441251857795
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,68,1.0,9.796975387185967
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,71,64.0,0.5125433048899948
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,46,46656.0,0.5258208681509198
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,30,857375.0,83.55352537043731
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,46,10503459.0,0.5258208681509198
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,65,1815848.0,0.5473967051355444
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,100,91125.0,2.025790915867646
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,87,205379.0,5.612234025512922
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,24,592704.0,10.590792759495987
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,19,300763.0,0.869658074441806
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,87,343000.0,5.612234025512922
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,28,238328.0,0.7868403851802712
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,61,636056.0,29.513995986914356
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,10,5088448.0,2.193083986739962
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,32,4330747.0,0.6445680044638951
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,17,1404928.0,25.90505251316606
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,58,328509.0,0.5017882105819239
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,68,110592.0,9.796975387185967
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,88,140608.0,0.9658118980490871
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,33,12167.0,0.500022035944306
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,24,4913.0,10.590792759495987
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,95,343.0,0.5940846816900167
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,42,1.0,11.979139227322584
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,38,1.0,0.7713855584154635
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,23,125.0,6.50281329350808
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,32,39304.0,0.6445680044638951
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,100,592704.0,2.025790915867646
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,71,9261000.0,0.5125433048899948
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,71,2406104.0,0.5125433048899948
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,46,250047.0,0.5258208681509198
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,74,300763.0,67.32311401195065
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,82,205379.0,0.7614819393063025
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,9,389017.0,0.7081558739235672
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,29,125000.0,2.9729510585814833
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,23,373248.0,6.50281329350808
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,63,658503.0,0.8566369271513424
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,22,6539203.0,1.0089303546212294
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,40,1860867.0,0.573028742574676
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,82,857375.0,0.7614819393063025
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,95,132651.0,0.5940846816900167
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,34,59319.0,0.6539868700870936
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,35,46656.0,1.7488102347630208
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,3,3375.0,0.8763320184878719
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,93,15625.0,19.33568064408107
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,69,4096.0,1.129668825806919
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,49,4096.0,21.622861843277043
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,34,343.0,0.6539868700870936
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,76,1.0,0.6385257158828442
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,81,125.0,2.7018847930632726
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,63,8.0,0.8566369271513424
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,72,729.0,0.7975605094780727
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,50,3375.0,1.3557021544363344
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,26,8000.0,0.5673570710394846
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,16,226981.0,1.4043036899381962
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,73,238328.0,3.0937909668046757
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,28,941192.0,0.7868403851802712
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,53,1061208.0,0.7163707881255232
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,74,857375.0,67.32311401195065
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,74,405224.0,67.32311401195065
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,32,438976.0,0.6445680044638951
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,46,328509.0,0.5258208681509198
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,7,166375.0,0.6035051827052901
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,62,27000.0,3.8340720458680737
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,31,21952.0,1.6779583343684343
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,82,50653.0,0.7614819393063025
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,89,39304.0,0.5376143475480764
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,6,10648.0,1.3877622922787505
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,52,15625.0,0.503365605112174
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,37,1728.0,2.8053491651647224
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,38,1331.0,0.7713855584154635
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,48,64.0,4.315081398019611
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,17,1.0,25.90505251316606
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,64,1.0,0.5208262701161901
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,88,1.0,0.9658118980490871
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,75,216.0,1.633404121532299
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,49,1000.0,21.622861843277043
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,13,6859.0,0.7041425227235925
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,65,117649.0,0.5473967051355444
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,80,117649.0,163.63007223971312
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,72,571787.0,0.7975605094780727
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,35,421875.0,1.7488102347630208
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,75,373248.0,1.633404121532299
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,18,551368.0,4.015858573649374
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,31,778688.0,1.6779583343684343
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,84,238328.0,0.5769706814181332
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,85,110592.0,1.213703616753761
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,98,68921.0,2.3440166611427986
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,62,54872.0,3.8340720458680737
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,9,8000.0,0.7081558739235672
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,81,3375.0,2.7018847930632726
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,14,216.0,0.5023592408312615
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,20,125.0,0.5227541141700891
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,61,1.0,29.513995986914356
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,10,27.0,2.193083986739962
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,3,1.0,0.8763320184878719
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,44,27.0,0.9826059824898337
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,59,27.0,0.6109713317819904
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,77,29791.0,0.5001199891426975
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,58,456533.0,0.5017882105819239
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,25,6644672.0,1.1525407907094694
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,65,830584.0,0.5473967051355444
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,90,29791.0,0.5279840346175494
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,67,27000.0,6.921372193247372
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,67,140608.0,6.921372193247372
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,9,157464.0,0.7081558739235672
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,92,103823.0,4.534449634384539
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,86,91125.0,13.064798934155936
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,14,405224.0,0.5023592408312615
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,0,5639752.0,1.0
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,17,3723875.0,25.90505251316606
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,41,857375.0,1.1885273858987428
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,31,405224.0,1.6779583343684343
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,11,54872.0,102109.07002447755
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,62,13824.0,3.8340720458680737
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,7,5832.0,0.6035051827052901
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,25,1728.0,1.1525407907094694
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,31,27.0,1.6779583343684343
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,17,27.0,25.90505251316606
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,65,216.0,0.5473967051355444
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,5,19683.0,24.34527915938213
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,62,970299.0,3.8340720458680737
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,4,10218313.0,4.111884294479769
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,15,2197000.0,0.6059548980890475
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,83,157464.0,0.5080359962611123
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,58,42875.0,0.5017882105819239
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,8,185193.0,0.5026746699330502
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,2,140608.0,0.5237528663423374
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,79,250047.0,1.798925688187395
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,1,103823.0,0.5430441251857795
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,28,438976.0,0.7868403851802712
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,95,2515456.0,0.5940846816900167
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,38,857375.0,0.7713855584154635
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,87,132651.0,5.612234025512922
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,21,32768.0,0.5444678790179037
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,62,8000.0,3.8340720458680737
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,11,24389.0,102109.07002447755
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,20,6859.0,0.5227541141700891
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,71,343.0,0.5125433048899948
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,46,216.0,0.5258208681509198
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,91,1.0,0.9041693413125955
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,90,125.0,0.5279840346175494
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,86,4096.0,13.064798934155936
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,36,157464.0,121.63753475026189
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,28,2097152.0,0.7868403851802712
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,95,531441.0,0.5940846816900167
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,10,59319.0,2.193083986739962
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,23,42875.0,6.50281329350808
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,83,166375.0,0.5080359962611123
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,76,117649.0,0.6385257158828442
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,10,85184.0,2.193083986739962
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,25,117649.0,1.1525407907094694
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,91,314432.0,0.9041693413125955
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,68,2685619.0,9.796975387185967
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,72,2571353.0,0.7975605094780727
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,95,571787.0,0.5940846816900167
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,64,175616.0,0.5208262701161901
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,24,185193.0,10.590792759495987
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,90,35937.0,0.5279840346175494
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,63,8000.0,0.8566369271513424
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,48,343.0,4.315081398019611
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,30,8.0,83.55352537043731
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,39,8.0,0.5092180208714154
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,23,27.0,6.50281329350808
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,14,64.0,0.5023592408312615
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,2,27.0,0.5237528663423374
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,51,21952.0,0.5987202322070889
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,54,373248.0,2.266489527055483
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,23,8242408.0,6.50281329350808
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,48,2685619.0,4.315081398019611
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,78,54872.0,0.6605113804923478
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,44,50653.0,0.9826059824898337
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,45,140608.0,0.5402766739296717
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,59,571787.0,0.6109713317819904
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,24,74088.0,10.590792759495987
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,92,216000.0,4.534449634384539
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,27,474552.0,0.5111492047520422
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,93,4251528.0,19.33568064408107
