instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_1
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,41
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,12
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,43
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,19
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,33
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,74
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,49
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,48
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,99
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,76
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,3
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,49
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,71
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,20
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,2
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,56
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,2
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,4
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,39
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,60
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,13
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,82
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,0
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,0
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,89
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,88
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,1
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,99
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,24
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,32
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,50
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,49
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,70
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,64
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,67
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,100
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,52
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,10
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,67
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,38
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,85
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,61
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,47
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,91
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,31
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,26
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,5
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,78
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,72
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,51
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,60
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,82
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,43
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,26
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,65
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,74
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,85
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,56
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,95
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,97
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,29
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,10
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,33
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,85
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,19
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,91
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,58
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,39
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,65
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,98
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,14
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,19
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,92
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,59
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,33
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,87
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,95
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,83
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,47
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,28
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,34
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,13
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,65
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,25
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,85
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,64
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,51
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,19
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,83
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,57
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,59
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,45
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,25
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,57
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,40
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,10
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,45
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,82
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,90
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,88
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,89
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,44
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,76
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,97
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,21
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,61
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,77
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,33
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,55
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,41
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,64
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,76
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,71
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,52
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,58
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,43
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,30
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,30
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,79
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,67
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,25
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,14
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,72
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,3
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,94
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,30
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,76
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,83
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,64
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,4
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,100
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,35
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,11
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,29
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,50
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,67
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,83
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,90
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,80
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,36
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,79
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,98
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,16
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,100
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,18
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,1
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,85
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,65
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,89
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,43
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,97
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,49
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,100
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,10
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,20
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,100
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,39
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,23
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,75
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,67
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,84
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,92
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,19
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,46
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,67
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,5
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,65
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,79
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,66
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,11
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,53
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,99
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,64
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,99
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,34
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,78
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,100
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,32
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,98
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,99
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,14
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,89
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,48
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,82
336,1,0,1,11,0.2,0.197,0.55,0.2239,18,72,13
337,1,0,1,12,0.24,0.2273,0.48,0.2239,15,89,82
338,1,0,1,13,0.28,0.2576,0.38,0.2985,21,101,77
339,1,0,1,14,0.3,0.2879,0.39,0.2836,26,118,22
340,1,0,1,15,0.32,0.3182,0.36,0.194,21,129,17
341,1,0,1,16,0.34,0.3333,0.34,0.194,33,128,96
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,56
343,1,0,1,18,0.3,0.2879,0.45,0.2537,15,84,11
344,1,0,1,19,0.32,0.303,0.39,0.2537,14,74,24
345,1,0,1,20,0.32,0.303,0.39,0.2537,6,41,4
346,1,0,1,21,0.32,0.303,0.39,0.2239,6,57,84
347,1,0,1,22,0.3,0.3182,0.42,0.1045,0,26,5
348,1,0,1,23,0.3,0.2879,0.45,0.2836,5,44,3
349,1,0,1,0,0.26,0.303,0.56,0,6,39,71
350,1,0,1,1,0.26,0.2727,0.56,0.1343,4,23,53
351,1,0,1,2,0.26,0.2879,0.56,0.0896,3,16,83
352,1,0,1,3,0.22,0.2727,0.69,0,9,15,31
353,1,0,1,4,0.26,0.2576,0.56,0.1642,0,1,38
354,1,0,1,5,0.26,0.2576,0.56,0.1642,1,2,35
355,1,0,1,6,0.26,0.2576,0.56,0.1642,0,1,54
356,1,0,1,7,0.24,0.2121,0.56,0.2985,0,3,49
357,1,0,1,8,0.22,0.2121,0.55,0.2836,0,18,25
358,1,0,1,9,0.22,0.2121,0.51,0.2537,3,32,46
359,1,0,1,10,0.22,0.2121,0.51,0.2836,8,79,9
360,1,0,1,11,0.24,0.2273,0.44,0.2537,23,93,51
361,1,0,1,12,0.24,0.2121,0.41,0.2836,29,104,76
362,1,0,1,13,0.26,0.2273,0.35,0.2985,23,118,20
363,1,0,1,14,0.28,0.2727,0.36,0.2537,22,91,22
364,1,0,1,15,0.26,0.2424,0.38,0.2537,35,113,37
365,1,0,1,16,0.24,0.2273,0.38,0.2239,22,99,13
366,1,0,1,17,0.22,0.2121,0.37,0.2537,23,105,54
367,1,0,1,18,0.2,0.2121,0.4,0.1642,11,67,96
368,1,0,1,19,0.18,0.197,0.47,0.1343,14,61,99
369,1,0,1,20,0.18,0.197,0.47,0.1642,7,57,52
370,1,0,1,21,0.18,0.197,0.51,0.1642,6,28,59
371,1,0,1,22,0.2,0.2121,0.49,0.1343,2,21,37
372,1,0,1,23,0.2,0.2273,0.4,0.1045,0,18,14
373,1,0,1,0,0.2,0.197,0.47,0.2239,1,17,65
374,1,0,1,1,0.2,0.197,0.44,0.194,1,16,27
375,1,0,1,2,0.18,0.1667,0.43,0.2537,0,8,83
376,1,0,1,3,0.18,0.1818,0.43,0.194,0,2,92
377,1,0,1,4,0.18,0.197,0.43,0.1343,1,3,82
378,1,0,1,5,0.18,0.197,0.43,0.1642,0,1,78
379,1,0,1,6,0.18,0.1818,0.43,0.194,0,5,67
380,1,0,1,7,0.16,0.1818,0.5,0.1343,4,13,89
381,1,0,1,8,0.16,0.1515,0.47,0.2239,3,33,82
382,1,0,1,9,0.16,0.1515,0.47,0.2239,8,47,43
383,1,0,1,10,0.16,0.1515,0.5,0.2537,7,57,76
384,1,0,1,11,0.16,0.1515,0.55,0.194,9,64,33
385,1,0,1,12,0.18,0.197,0.47,0.1343,10,80,22
386,1,0,1,13,0.18,0.197,0.47,0.1343,13,93,12
387,1,0,1,14,0.18,0.2121,0.43,0.1045,12,86,71
388,1,0,1,15,0.2,0.2121,0.47,0.1642,21,93,19
389,1,0,1,16,0.2,0.2121,0.47,0.1642,6,82,34
390,1,0,1,17,0.2,0.197,0.51,0.194,4,71,76
391,1,0,1,18,0.18,0.1667,0.55,0.2537,7,92,49
392,1,0,1,19,0.18,0.1818,0.59,0.194,2,60,78
393,1,0,1,20,0.16,0.1515,0.8,0.194,4,33,10
394,1,0,1,21,0.16,0.1515,0.8,0.194,3,27,9
395,1,0,1,22,0.14,0.1212,0.93,0.2537,0,13,76
396,1,0,1,23,0.16,0.1364,0.86,0.2836,1,4,2
397,1,0,1,12,0.2,0.1818,0.86,0.3284,0,3,36
398,1,0,1,13,0.2,0.197,0.86,0.2239,0,22,7
399,1,0,1,14,0.22,0.2273,0.8,0.1642,2,28,87
400,1,0,1,15,0.22,0.2273,0.87,0.1642,3,35,95
401,1,0,1,16,0.22,0.2273,0.87,0.194,0,61,95
402,1,0,1,17,0.22,0.2273,0.82,0.194,1,125,60
403,1,0,1,18,0.22,0.2273,0.8,0.1642,1,133,38
404,1,0,1,19,0.22,0.2273,0.8,0.1343,1,99,86
405,1,0,1,20,0.22,0.2727,0.87,0,0,83,39
406,1,0,1,21,0.22,0.2424,0.93,0.1045,0,41,51
407,1,0,1,22,0.22,0.2576,0.93,0.0896,0,33,74
408,1,0,1,23,0.22,0.2727,0.93,0,1,20,9
409,1,0,1,0,0.22,0.2727,0.93,0,0,3,50
410,1,0,1,1,0.22,0.2273,0.93,0.1343,1,7,15
411,1,0,1,2,0.22,0.2273,0.93,0.1343,0,3,93
412,1,0,1,4,0.22,0.2273,0.93,0.1343,1,2,7
413,1,0,1,5,0.22,0.2576,0.93,0.0896,0,7,62
414,1,0,1,6,0.22,0.2576,0.93,0.0896,0,32,99
415,1,0,1,7,0.24,0.2576,0.92,0.1045,1,90,35
416,1,0,1,8,0.24,0.2576,0.93,0.1045,1,197,13
