instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,83,627,58
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,90,966,162
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,58,575,131
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,83,958,57
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,88,909,154
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,75,980,103
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,5,827,6
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,88,906,246
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,68,580,10
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,37,565,190
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,29,560,127
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,68,898,130
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,71,927,23
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,70,891,82
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,28,841,76
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,16,724,230
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,48,668,184
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,93,524,94
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,64,751,209
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,65,528,165
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,9,916,7
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,30,719,113
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,21,573,248
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,27,737,212
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,61,928,126
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,17,885,111
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,17,539,96
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,9,741,114
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,25,697,106
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,12,558,185
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,34,884,119
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,76,688,164
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,77,746,113
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,88,564,76
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,9,942,184
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,87,538,93
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,45,966,117
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,95,805,155
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,97,928,176
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,30,871,234
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,65,839,210
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,6,560,56
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,57,987,114
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,99,972,194
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,97,901,195
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,69,704,97
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,35,748,207
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,23,542,111
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,2,798,13
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,53,960,211
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,25,573,14
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,86,805,98
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,32,563,29
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,75,580,74
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,44,582,162
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,22,759,69
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,64,627,106
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,3,578,55
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,83,671,112
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,45,969,149
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,97,935,94
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,97,858,192
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,63,820,176
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,28,579,229
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,17,836,204
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,56,926,225
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,81,623,181
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,100,668,71
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,8,964,110
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,97,711,169
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,53,866,170
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,38,857,247
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,37,657,136
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,66,756,224
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,98,685,155
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,68,697,61
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,73,701,16
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,54,695,217
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,38,945,114
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,100,693,130
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,53,970,87
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,69,688,245
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,20,977,90
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,43,986,196
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,2,744,81
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,85,854,242
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,12,879,49
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,49,690,36
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,28,532,220
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,90,525,56
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,88,778,129
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,32,825,197
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,20,746,83
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,47,836,4
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,31,749,184
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,97,678,151
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,55,951,217
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,33,756,194
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,49,546,162
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,7,809,207
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,75,684,250
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,93,845,61
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,53,789,133
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,39,602,218
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,66,586,28
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,7,676,70
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,74,897,105
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,99,983,53
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,57,970,210
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,46,812,243
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,65,977,65
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,80,567,150
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,26,941,69
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,75,997,244
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,49,931,52
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,31,942,160
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,76,637,65
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,18,914,84
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,93,903,43
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,83,897,177
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,2,914,174
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,92,933,70
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,24,693,47
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,84,788,130
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,66,895,46
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,43,526,146
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,17,676,100
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,40,537,232
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,100,827,52
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,42,513,7
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,83,574,237
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,44,543,168
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,68,694,224
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,8,502,20
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,99,698,6
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,0,603,102
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,94,609,107
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,44,949,66
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,82,796,166
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,43,748,79
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,93,724,194
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,85,929,79
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,71,884,116
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,14,907,248
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,56,753,41
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,86,544,136
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,56,942,92
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,98,810,130
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,82,874,46
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,18,881,123
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,25,791,32
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,85,829,236
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,73,757,126
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,72,830,227
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,17,832,49
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,42,607,162
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,15,964,16
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,92,927,231
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,35,689,226
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,77,796,103
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,11,998,106
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,60,732,46
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,32,927,60
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,49,843,130
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,92,570,191
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,15,725,28
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,47,937,17
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,33,546,101
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,7,806,3
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,7,850,52
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,75,982,55
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,34,964,125
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,65,821,7
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,42,579,248
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,68,902,232
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,89,789,67
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,34,569,60
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,96,939,230
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,15,968,7
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,54,595,85
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,29,796,175
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,24,626,216
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,98,853,13
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,4,661,16
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,77,776,186
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,37,987,94
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,80,779,146
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,41,914,233
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,12,855,245
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,31,682,4
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,19,611,100
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,71,702,40
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,41,718,49
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,8,719,37
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,37,621,153
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,42,962,192
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,31,880,180
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,32,671,111
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,92,524,215
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,60,757,51
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,42,680,15
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,34,505,147
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,26,694,4
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,35,778,182
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,99,804,246
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,44,514,90
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,93,624,101
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,68,823,127
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,46,784,143
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,41,614,98
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,64,511,6
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,5,708,180
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,88,1000,5
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,15,599,131
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,0,672,16
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,6,543,105
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,100,950,9
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,48,991,171
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,3,607,140
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,14,650,154
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,43,835,117
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,90,597,223
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,98,832,69
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,6,558,31
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,82,973,5
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,21,628,224
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,67,552,13
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,33,831,9
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,2,705,3
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,86,702,249
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,23,947,188
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,98,821,186
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,27,674,113
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,5,841,102
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,97,945,165
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,39,783,189
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,50,966,203
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,39,921,196
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,88,614,139
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,55,833,106
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,2,712,27
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,22,827,135
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,30,775,39
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,76,637,97
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,87,750,108
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,94,915,127
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,100,601,80
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,68,1000,225
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,10,780,7
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,79,825,45
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,74,761,243
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,61,570,36
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,85,553,151
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,62,598,115
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,58,633,206
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,4,639,134
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,81,978,23
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,81,705,146
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,25,500,23
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,97,594,214
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,18,860,202
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,36,540,73
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,43,757,192
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,59,931,115
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,81,653,156
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,100,848,235
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,32,940,203
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,40,786,72
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,35,912,163
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,79,732,132
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,43,747,35
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,86,766,184
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,5,630,51
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,15,578,193
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,59,658,49
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,51,645,68
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,0,893,244
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,5,865,214
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,71,972,125
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,25,573,24
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,81,874,77
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,78,833,71
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,56,730,199
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,48,910,155
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,15,788,71
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,45,539,156
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,21,914,116
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,78,773,234
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,6,923,56
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,91,942,125
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,82,970,51
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,10,803,98
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,37,847,121
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,4,523,232
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,67,706,34
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,61,782,124
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,99,653,206
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,4,633,94
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,19,978,100
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,66,784,62
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,70,772,221
336,1,0,1,11,0.2,0.197,0.55,0.2239,18,72,37,898,195
337,1,0,1,12,0.24,0.2273,0.48,0.2239,15,89,28,801,52
338,1,0,1,13,0.28,0.2576,0.38,0.2985,21,101,96,910,177
339,1,0,1,14,0.3,0.2879,0.39,0.2836,26,118,61,926,223
340,1,0,1,15,0.32,0.3182,0.36,0.194,21,129,44,733,192
341,1,0,1,16,0.34,0.3333,0.34,0.194,33,128,11,756,90
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,95,802,13
343,1,0,1,18,0.3,0.2879,0.45,0.2537,15,84,35,593,96
344,1,0,1,19,0.32,0.303,0.39,0.2537,14,74,88,699,67
345,1,0,1,20,0.32,0.303,0.39,0.2537,6,41,60,687,45
346,1,0,1,21,0.32,0.303,0.39,0.2239,6,57,27,949,229
347,1,0,1,22,0.3,0.3182,0.42,0.1045,0,26,46,961,0
348,1,0,1,23,0.3,0.2879,0.45,0.2836,5,44,38,673,144
349,1,0,1,0,0.26,0.303,0.56,0,6,39,18,847,144
350,1,0,1,1,0.26,0.2727,0.56,0.1343,4,23,14,668,125
351,1,0,1,2,0.26,0.2879,0.56,0.0896,3,16,8,683,79
352,1,0,1,3,0.22,0.2727,0.69,0,9,15,3,531,44
353,1,0,1,4,0.26,0.2576,0.56,0.1642,0,1,45,806,122
354,1,0,1,5,0.26,0.2576,0.56,0.1642,1,2,38,833,197
355,1,0,1,6,0.26,0.2576,0.56,0.1642,0,1,75,553,94
356,1,0,1,7,0.24,0.2121,0.56,0.2985,0,3,35,516,217
357,1,0,1,8,0.22,0.2121,0.55,0.2836,0,18,67,552,68
358,1,0,1,9,0.22,0.2121,0.51,0.2537,3,32,12,963,79
359,1,0,1,10,0.22,0.2121,0.51,0.2836,8,79,67,667,155
360,1,0,1,11,0.24,0.2273,0.44,0.2537,23,93,56,853,130
361,1,0,1,12,0.24,0.2121,0.41,0.2836,29,104,60,730,207
362,1,0,1,13,0.26,0.2273,0.35,0.2985,23,118,98,540,180
363,1,0,1,14,0.28,0.2727,0.36,0.2537,22,91,19,804,145
364,1,0,1,15,0.26,0.2424,0.38,0.2537,35,113,62,610,67
365,1,0,1,16,0.24,0.2273,0.38,0.2239,22,99,52,587,188
366,1,0,1,17,0.22,0.2121,0.37,0.2537,23,105,78,884,161
367,1,0,1,18,0.2,0.2121,0.4,0.1642,11,67,5,939,0
368,1,0,1,19,0.18,0.197,0.47,0.1343,14,61,84,721,223
369,1,0,1,20,0.18,0.197,0.47,0.1642,7,57,94,651,133
370,1,0,1,21,0.18,0.197,0.51,0.1642,6,28,20,574,57
371,1,0,1,22,0.2,0.2121,0.49,0.1343,2,21,60,700,4
