instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_1
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,78
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,93
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,54
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,74
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,99
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,17
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,39
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,94
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,63
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,6
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,50
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,100
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,76
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,73
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,56
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,100
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,61
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,70
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,70
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,64
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,77
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,12
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,74
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,62
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,68
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,52
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,21
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,1
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,74
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,2
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,66
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,94
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,66
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,46
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,59
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,4
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,49
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,80
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,12
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,53
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,37
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,84
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,88
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,97
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,80
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,78
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,40
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,82
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,71
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,60
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,38
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,40
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,80
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,0
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,5
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,21
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,51
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,8
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,65
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,26
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,71
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,94
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,89
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,63
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,71
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,65
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,2
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,58
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,50
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,32
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,56
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,87
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,21
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,80
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,64
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,53
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,28
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,92
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,53
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,87
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,92
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,29
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,92
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,90
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,33
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,43
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,8
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,75
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,47
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,16
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,72
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,36
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,33
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,7
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,70
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,15
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,36
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,39
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,85
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,38
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,39
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,94
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,70
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,23
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,31
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,33
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,90
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,22
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,24
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,50
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,47
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,17
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,94
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,36
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,94
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,94
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,71
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,62
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,93
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,36
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,59
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,19
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,14
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,27
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,45
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,62
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,42
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,83
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,85
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,70
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,40
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,33
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,0
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,15
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,83
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,54
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,35
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,82
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,39
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,71
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,30
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,19
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,90
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,80
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,25
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,30
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,26
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,21
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,70
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,17
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,44
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,96
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,2
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,86
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,19
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,52
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,18
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,15
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,46
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,10
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,31
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,62
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,78
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,100
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,79
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,47
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,9
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,81
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,35
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,94
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,21
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,32
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,50
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,69
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,56
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,98
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,25
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,46
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,75
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,99
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,25
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,83
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,11
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,22
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,46
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,56
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,10
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,50
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,17
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,73
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,70
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,84
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,48
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,95
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,60
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,65
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,26
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,41
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,54
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,19
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,25
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,56
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,6
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,21
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,45
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,86
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,81
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,95
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,70
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,4
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,66
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,57
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,72
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,27
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,61
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,19
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,90
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,3
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,40
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,75
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,73
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,83
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,35
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,26
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,31
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,11
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,79
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,66
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,32
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,46
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,55
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,6
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,3
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,7
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,48
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,67
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,42
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,81
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,69
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,28
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,94
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,82
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,14
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,73
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,100
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,12
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,100
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,37
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,84
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,97
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,60
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,39
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,79
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,8
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,10
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,30
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,22
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,98
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,4
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,2
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,61
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,48
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,76
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,24
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,46
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,47
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,6
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,71
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,68
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,27
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,5
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,100
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,100
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,78
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,97
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,11
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,33
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,87
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,21
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,34
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,61
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,72
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,66
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,0
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,73
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,64
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,55
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,52
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,39
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,99
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,41
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,26
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,91
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,10
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,76
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,54
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,82
336,1,0,1,11,0.2,0.197,0.55,0.2239,18,72,95
337,1,0,1,12,0.24,0.2273,0.48,0.2239,15,89,86
338,1,0,1,13,0.28,0.2576,0.38,0.2985,21,101,50
339,1,0,1,14,0.3,0.2879,0.39,0.2836,26,118,28
340,1,0,1,15,0.32,0.3182,0.36,0.194,21,129,16
341,1,0,1,16,0.34,0.3333,0.34,0.194,33,128,52
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,58
343,1,0,1,18,0.3,0.2879,0.45,0.2537,15,84,71
344,1,0,1,19,0.32,0.303,0.39,0.2537,14,74,87
345,1,0,1,20,0.32,0.303,0.39,0.2537,6,41,3
346,1,0,1,21,0.32,0.303,0.39,0.2239,6,57,94
347,1,0,1,22,0.3,0.3182,0.42,0.1045,0,26,71
348,1,0,1,23,0.3,0.2879,0.45,0.2836,5,44,85
349,1,0,1,0,0.26,0.303,0.56,0,6,39,92
350,1,0,1,1,0.26,0.2727,0.56,0.1343,4,23,94
351,1,0,1,2,0.26,0.2879,0.56,0.0896,3,16,32
352,1,0,1,3,0.22,0.2727,0.69,0,9,15,38
353,1,0,1,4,0.26,0.2576,0.56,0.1642,0,1,63
354,1,0,1,5,0.26,0.2576,0.56,0.1642,1,2,63
355,1,0,1,6,0.26,0.2576,0.56,0.1642,0,1,37
356,1,0,1,7,0.24,0.2121,0.56,0.2985,0,3,90
357,1,0,1,8,0.22,0.2121,0.55,0.2836,0,18,96
358,1,0,1,9,0.22,0.2121,0.51,0.2537,3,32,74
359,1,0,1,10,0.22,0.2121,0.51,0.2836,8,79,28
360,1,0,1,11,0.24,0.2273,0.44,0.2537,23,93,44
361,1,0,1,12,0.24,0.2121,0.41,0.2836,29,104,74
362,1,0,1,13,0.26,0.2273,0.35,0.2985,23,118,50
363,1,0,1,14,0.28,0.2727,0.36,0.2537,22,91,60
364,1,0,1,15,0.26,0.2424,0.38,0.2537,35,113,83
365,1,0,1,16,0.24,0.2273,0.38,0.2239,22,99,55
366,1,0,1,17,0.22,0.2121,0.37,0.2537,23,105,67
367,1,0,1,18,0.2,0.2121,0.4,0.1642,11,67,23
368,1,0,1,19,0.18,0.197,0.47,0.1343,14,61,92
369,1,0,1,20,0.18,0.197,0.47,0.1642,7,57,57
370,1,0,1,21,0.18,0.197,0.51,0.1642,6,28,58
371,1,0,1,22,0.2,0.2121,0.49,0.1343,2,21,77
372,1,0,1,23,0.2,0.2273,0.4,0.1045,0,18,100
373,1,0,1,0,0.2,0.197,0.47,0.2239,1,17,54
374,1,0,1,1,0.2,0.197,0.44,0.194,1,16,59
375,1,0,1,2,0.18,0.1667,0.43,0.2537,0,8,67
376,1,0,1,3,0.18,0.1818,0.43,0.194,0,2,43
377,1,0,1,4,0.18,0.197,0.43,0.1343,1,3,61
378,1,0,1,5,0.18,0.197,0.43,0.1642,0,1,42
379,1,0,1,6,0.18,0.1818,0.43,0.194,0,5,8
380,1,0,1,7,0.16,0.1818,0.5,0.1343,4,13,80
381,1,0,1,8,0.16,0.1515,0.47,0.2239,3,33,3
382,1,0,1,9,0.16,0.1515,0.47,0.2239,8,47,73
383,1,0,1,10,0.16,0.1515,0.5,0.2537,7,57,86
384,1,0,1,11,0.16,0.1515,0.55,0.194,9,64,99
385,1,0,1,12,0.18,0.197,0.47,0.1343,10,80,52
386,1,0,1,13,0.18,0.197,0.47,0.1343,13,93,21
387,1,0,1,14,0.18,0.2121,0.43,0.1045,12,86,13
388,1,0,1,15,0.2,0.2121,0.47,0.1642,21,93,14
389,1,0,1,16,0.2,0.2121,0.47,0.1642,6,82,24
390,1,0,1,17,0.2,0.197,0.51,0.194,4,71,98
391,1,0,1,18,0.18,0.1667,0.55,0.2537,7,92,29
392,1,0,1,19,0.18,0.1818,0.59,0.194,2,60,88
393,1,0,1,20,0.16,0.1515,0.8,0.194,4,33,30
394,1,0,1,21,0.16,0.1515,0.8,0.194,3,27,6
395,1,0,1,22,0.14,0.1212,0.93,0.2537,0,13,21
396,1,0,1,23,0.16,0.1364,0.86,0.2836,1,4,12
397,1,0,1,12,0.2,0.1818,0.86,0.3284,0,3,66
398,1,0,1,13,0.2,0.197,0.86,0.2239,0,22,38
399,1,0,1,14,0.22,0.2273,0.8,0.1642,2,28,55
400,1,0,1,15,0.22,0.2273,0.87,0.1642,3,35,86
401,1,0,1,16,0.22,0.2273,0.87,0.194,0,61,66
402,1,0,1,17,0.22,0.2273,0.82,0.194,1,125,9
403,1,0,1,18,0.22,0.2273,0.8,0.1642,1,133,25
404,1,0,1,19,0.22,0.2273,0.8,0.1343,1,99,78
405,1,0,1,20,0.22,0.2727,0.87,0,0,83,94
406,1,0,1,21,0.22,0.2424,0.93,0.1045,0,41,3
407,1,0,1,22,0.22,0.2576,0.93,0.0896,0,33,43
408,1,0,1,23,0.22,0.2727,0.93,0,1,20,95
409,1,0,1,0,0.22,0.2727,0.93,0,0,3,32
410,1,0,1,1,0.22,0.2273,0.93,0.1343,1,7,26
411,1,0,1,2,0.22,0.2273,0.93,0.1343,0,3,84
412,1,0,1,4,0.22,0.2273,0.93,0.1343,1,2,44
413,1,0,1,5,0.22,0.2576,0.93,0.0896,0,7,1
414,1,0,1,6,0.22,0.2576,0.93,0.0896,0,32,21
415,1,0,1,7,0.24,0.2576,0.92,0.1045,1,90,74
416,1,0,1,8,0.24,0.2576,0.93,0.1045,1,197,22
