instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,38
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,86
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,7
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,74
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,96
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,17
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,77
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,87
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,10
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,58
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,9
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,16
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,81
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,2
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,47
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,74
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,81
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,30
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,33
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,48
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,100
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,70
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,20
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,23
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,83
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,70
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,15
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,95
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,98
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,24
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,19
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,12
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,16
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,23
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,43
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,58
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,97
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,22
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,56
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,74
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,26
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,33
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,51
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,50
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,42
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,28
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,1
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,68
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,1
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,89
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,77
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,52
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,64
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,51
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,22
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,46
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,86
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,30
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,76
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,72
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,77
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,98
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,51
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,80
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,88
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,77
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,18
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,68
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,37
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,90
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,82
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,93
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,98
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,18
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,42
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,54
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,25
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,58
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,23
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,93
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,2
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,72
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,50
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,24
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,62
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,57
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,41
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,74
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,37
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,42
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,23
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,52
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,17
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,28
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,43
336,1,0,1,11,0.2,0.197,0.55,0.2239,18,72,46
337,1,0,1,12,0.24,0.2273,0.48,0.2239,15,89,64
338,1,0,1,13,0.28,0.2576,0.38,0.2985,21,101,25
339,1,0,1,14,0.3,0.2879,0.39,0.2836,26,118,11
340,1,0,1,15,0.32,0.3182,0.36,0.194,21,129,34
341,1,0,1,16,0.34,0.3333,0.34,0.194,33,128,34
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,90
343,1,0,1,18,0.3,0.2879,0.45,0.2537,15,84,70
344,1,0,1,19,0.32,0.303,0.39,0.2537,14,74,46
345,1,0,1,20,0.32,0.303,0.39,0.2537,6,41,85
346,1,0,1,21,0.32,0.303,0.39,0.2239,6,57,18
347,1,0,1,22,0.3,0.3182,0.42,0.1045,0,26,91
348,1,0,1,23,0.3,0.2879,0.45,0.2836,5,44,34
349,1,0,1,0,0.26,0.303,0.56,0,6,39,44
350,1,0,1,1,0.26,0.2727,0.56,0.1343,4,23,67
351,1,0,1,2,0.26,0.2879,0.56,0.0896,3,16,1
352,1,0,1,3,0.22,0.2727,0.69,0,9,15,87
353,1,0,1,4,0.26,0.2576,0.56,0.1642,0,1,87
354,1,0,1,5,0.26,0.2576,0.56,0.1642,1,2,90
355,1,0,1,6,0.26,0.2576,0.56,0.1642,0,1,93
356,1,0,1,7,0.24,0.2121,0.56,0.2985,0,3,96
357,1,0,1,8,0.22,0.2121,0.55,0.2836,0,18,87
358,1,0,1,9,0.22,0.2121,0.51,0.2537,3,32,20
359,1,0,1,10,0.22,0.2121,0.51,0.2836,8,79,6
360,1,0,1,11,0.24,0.2273,0.44,0.2537,23,93,52
361,1,0,1,12,0.24,0.2121,0.41,0.2836,29,104,83
362,1,0,1,13,0.26,0.2273,0.35,0.2985,23,118,24
363,1,0,1,14,0.28,0.2727,0.36,0.2537,22,91,69
364,1,0,1,15,0.26,0.2424,0.38,0.2537,35,113,2
365,1,0,1,16,0.24,0.2273,0.38,0.2239,22,99,39
366,1,0,1,17,0.22,0.2121,0.37,0.2537,23,105,13
367,1,0,1,18,0.2,0.2121,0.4,0.1642,11,67,68
368,1,0,1,19,0.18,0.197,0.47,0.1343,14,61,74
369,1,0,1,20,0.18,0.197,0.47,0.1642,7,57,31
370,1,0,1,21,0.18,0.197,0.51,0.1642,6,28,41
371,1,0,1,22,0.2,0.2121,0.49,0.1343,2,21,29
372,1,0,1,23,0.2,0.2273,0.4,0.1045,0,18,68
373,1,0,1,0,0.2,0.197,0.47,0.2239,1,17,11
374,1,0,1,1,0.2,0.197,0.44,0.194,1,16,48
375,1,0,1,2,0.18,0.1667,0.43,0.2537,0,8,10
376,1,0,1,3,0.18,0.1818,0.43,0.194,0,2,38
377,1,0,1,4,0.18,0.197,0.43,0.1343,1,3,76
378,1,0,1,5,0.18,0.197,0.43,0.1642,0,1,34
379,1,0,1,6,0.18,0.1818,0.43,0.194,0,5,41
380,1,0,1,7,0.16,0.1818,0.5,0.1343,4,13,54
381,1,0,1,8,0.16,0.1515,0.47,0.2239,3,33,84
382,1,0,1,9,0.16,0.1515,0.47,0.2239,8,47,10
383,1,0,1,10,0.16,0.1515,0.5,0.2537,7,57,13
384,1,0,1,11,0.16,0.1515,0.55,0.194,9,64,71
385,1,0,1,12,0.18,0.197,0.47,0.1343,10,80,5
386,1,0,1,13,0.18,0.197,0.47,0.1343,13,93,50
387,1,0,1,14,0.18,0.2121,0.43,0.1045,12,86,95
388,1,0,1,15,0.2,0.2121,0.47,0.1642,21,93,80
389,1,0,1,16,0.2,0.2121,0.47,0.1642,6,82,15
390,1,0,1,17,0.2,0.197,0.51,0.194,4,71,37
391,1,0,1,18,0.18,0.1667,0.55,0.2537,7,92,57
392,1,0,1,19,0.18,0.1818,0.59,0.194,2,60,22
393,1,0,1,20,0.16,0.1515,0.8,0.194,4,33,25
394,1,0,1,21,0.16,0.1515,0.8,0.194,3,27,34
395,1,0,1,22,0.14,0.1212,0.93,0.2537,0,13,30
396,1,0,1,23,0.16,0.1364,0.86,0.2836,1,4,12
397,1,0,1,12,0.2,0.1818,0.86,0.3284,0,3,0
398,1,0,1,13,0.2,0.197,0.86,0.2239,0,22,13
399,1,0,1,14,0.22,0.2273,0.8,0.1642,2,28,62
400,1,0,1,15,0.22,0.2273,0.87,0.1642,3,35,95
401,1,0,1,16,0.22,0.2273,0.87,0.194,0,61,51
402,1,0,1,17,0.22,0.2273,0.82,0.194,1,125,13
403,1,0,1,18,0.22,0.2273,0.8,0.1642,1,133,98
404,1,0,1,19,0.22,0.2273,0.8,0.1343,1,99,69
405,1,0,1,20,0.22,0.2727,0.87,0,0,83,38
406,1,0,1,21,0.22,0.2424,0.93,0.1045,0,41,50
407,1,0,1,22,0.22,0.2576,0.93,0.0896,0,33,67
408,1,0,1,23,0.22,0.2727,0.93,0,1,20,47
409,1,0,1,0,0.22,0.2727,0.93,0,0,3,15
410,1,0,1,1,0.22,0.2273,0.93,0.1343,1,7,85
411,1,0,1,2,0.22,0.2273,0.93,0.1343,0,3,61
412,1,0,1,4,0.22,0.2273,0.93,0.1343,1,2,4
413,1,0,1,5,0.22,0.2576,0.93,0.0896,0,7,0
414,1,0,1,6,0.22,0.2576,0.93,0.0896,0,32,19
415,1,0,1,7,0.24,0.2576,0.92,0.1045,1,90,84
416,1,0,1,8,0.24,0.2576,0.93,0.1045,1,197,71
