instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_5,feature_y_5,feature_y_5,feature_y_5,feature_y_5
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,27,4913.0,0.5111492047520422,0.9000508174929343,450
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,49,4913.0,21.622861843277043,0.9000508174929343,208
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,5,729.0,24.34527915938213,0.9886955804866999,54
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,16,216.0,1.4043036899381962,0.7179850839697136,193
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,43,27.0,5.944410581534946,0.2921388087338362,213
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,13,8.0,0.7041425227235925,0.14550003380861354,33
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,84,1.0,0.5769706814181332,0.5403023058681398,193
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,85,512.0,1.213703616753761,0.996833390848202,371
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,35,8000.0,1.7488102347630208,0.06564512751032302,245
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,77,148877.0,0.5001199891426975,0.9978399678225618,76
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,97,343000.0,0.7248437158702044,0.610518630276102,8
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,26,804357.0,0.5673570710394846,0.7806682917959753,437
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,74,421875.0,67.32311401195065,0.9986131186347414,241
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,95,205379.0,0.5940846816900167,0.8668913779238857,41
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,93,405224.0,19.33568064408107,0.8187254508480504,146
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,24,438976.0,10.590792759495987,0.3072314733386139,207
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,0,274625.0,1.0,0.894535123924783,372
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,70,148877.0,0.5637325966004665,0.9978399678225618,317
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,26,27000.0,0.5673570710394846,0.40598946176217077,58
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,28,10648.0,0.7868403851802712,0.4153243610054981,318
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,100,29791.0,2.025790915867646,0.7497355341511844,301
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,18,729.0,4.015858573649374,0.9886955804866999,21
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,47,512.0,0.8900177298266997,0.996833390848202,433
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,71,125.0,0.5125433048899948,0.7877145121442345,25
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,94,8.0,1.3249455192268595,0.14550003380861354,201
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,30,1.0,83.55352537043731,0.5403023058681398,205
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,70,27.0,0.5637325966004665,0.2921388087338362,56
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,96,27000.0,0.5041370124924979,0.40598946176217077,274
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,87,262144.0,5.612234025512922,0.9964567265431309,161
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,1,3652264.0,0.5430441251857795,0.680306108693784,270
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,88,681472.0,0.9658118980490871,0.6500273073821843,281
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,100,85184.0,2.025790915867646,0.9597172785084751,358
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,93,132651.0,19.33568064408107,0.924225198966451,42
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,22,226981.0,1.0089303546212294,0.5972100308691869,4
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,94,226981.0,1.3249455192268595,0.5972100308691869,84
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,32,456533.0,0.6445680044638951,0.9947179590299335,128
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,24,373248.0,10.590792759495987,0.08909767185442889,259
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,86,438976.0,13.064798934155936,0.3072314733386139,433
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,50,3869893.0,1.3557021544363344,0.8083268350251855,40
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,99,3869893.0,1260.7704250424647,0.8083268350251855,478
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,41,1331000.0,1.1885273858987428,0.12997395763495997,472
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,50,140608.0,1.3557021544363344,0.9657710534457514,103
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,32,140608.0,0.6445680044638951,0.9657710534457514,281
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,68,8000.0,9.796975387185967,0.06564512751032302,262
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,57,1728.0,0.696298942266857,0.9923168327201398,343
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,59,125.0,0.6109713317819904,0.7877145121442345,71
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,86,8.0,13.064798934155936,0.14550003380861354,177
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,0,1.0,1.0,0.5403023058681398,86
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,71,8.0,0.5125433048899948,0.14550003380861354,95
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,60,64.0,1.4384569591461411,0.39185723042955,192
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,55,46656.0,4084.5228050458813,0.9785486907389197,387
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,10,830584.0,2.193083986739962,0.9524963446376412,393
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,81,5735339.0,2.7018847930632726,0.9467797740366186,223
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,39,1000000.0,0.5092180208714154,0.9367521275331447,324
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,82,74088.0,0.7614819393063025,0.983924226468455,176
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,47,185193.0,0.8900177298266997,0.7348597471800759,76
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,25,474552.0,1.1525407907094694,0.28835490585704365,2
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,52,912673.0,0.503365605112174,0.8744126871967961,1
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,93,250047.0,19.33568064408107,0.21166754060601453,121
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,0,274625.0,1.0,0.894535123924783,99
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,29,571787.0,2.9729510585814833,0.14123908682440878,228
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,79,9528128.0,1.798925688187395,0.48388694787438213,61
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,95,6028568.0,0.5940846816900167,0.7976641834043365,417
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,33,1404928.0,0.500022035944306,0.088550854297912,385
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,24,157464.0,10.590792759495987,0.4598085148240586,397
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,12,110592.0,2.15783677484981,0.08451108251254075,99
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,39,42875.0,0.5092180208714154,0.11401167733032609,467
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,71,1331.0,0.5125433048899948,0.5102807461770535,466
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,42,216.0,11.979139227322584,0.7179850839697136,118
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,92,216.0,4.534449634384539,0.7179850839697136,280
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,15,8.0,0.6059548980890475,0.14550003380861354,145
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,37,8.0,2.8053491651647224,0.14550003380861354,243
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,89,27.0,0.5376143475480764,0.2921388087338362,416
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,11,35937.0,102109.07002447755,0.9487196478676775,490
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,47,681472.0,0.8900177298266997,0.6500273073821843,293
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,4,7414875.0,4.111884294479769,0.9985205179705156,180
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,95,1520875.0,0.5940846816900167,0.15069075745855756,99
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,84,185193.0,0.5769706814181332,0.7348597471800759,150
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,41,97336.0,1.1885273858987428,0.9993940599134129,134
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,86,493039.0,13.064798934155936,0.8306410854894761,213
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,2,357911.0,0.5237528663423374,0.33777391432627846,142
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,76,238328.0,0.6385257158828442,0.878485497608328,100
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,26,238328.0,0.5673570710394846,0.878485497608328,273
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,21,704969.0,0.5444678790179037,0.3154429795766605,281
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,33,6859000.0,0.500022035944306,0.029321371195559005,256
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,75,4826809.0,1.633404121532299,0.9972942925625753,65
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,66,2299968.0,1.0272753459349424,0.16358673587781578,248
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,89,704969.0,0.5376143475480764,0.3154429795766605,429
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,12,79507.0,2.15783677484981,0.9102631815448695,299
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,85,74088.0,1.213703616753761,0.983924226468455,283
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,81,6859.0,2.7018847930632726,0.6190709191736287,191
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,6,1331.0,1.3877622922787505,0.5102807461770535,395
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,27,64.0,0.5111492047520422,0.39185723042955,297
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,70,8.0,0.5637325966004665,0.14550003380861354,279
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,18,1.0,4.015858573649374,0.5403023058681398,142
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,76,64.0,0.6385257158828442,0.39185723042955,34
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,28,46656.0,0.7868403851802712,0.9785486907389197,334
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,42,857375.0,11.979139227322584,0.9814938312063979,70
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,30,10503459.0,83.55352537043731,0.8745240759314311,25
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,16,1815848.0,1.4043036899381962,0.39655079762680157,40
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,51,91125.0,0.5987202322070889,0.9993335830491854,195
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,71,205379.0,0.5125433048899948,0.8668913779238857,176
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,31,592704.0,1.6779583343684343,0.13399521291272173,273
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,90,300763.0,0.5279840346175494,0.8706451185026877,265
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,69,343000.0,1.129668825806919,0.610518630276102,443
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,26,238328.0,0.5673570710394846,0.878485497608328,325
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,19,636056.0,0.869658074441806,0.9628520276238026,420
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,16,5088448.0,1.4043036899381962,0.5782594610266694,459
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,63,4330747.0,0.8566369271513424,0.26284501920202746,228
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,67,1404928.0,6.921372193247372,0.088550854297912,187
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,95,328509.0,0.5940846816900167,0.48834807665143615,407
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,33,110592.0,0.500022035944306,0.08451108251254075,5
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,58,140608.0,0.5017882105819239,0.9657710534457514,381
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,58,12167.0,0.5017882105819239,0.9255361136380498,132
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,4,4913.0,4.111884294479769,0.9000508174929343,56
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,16,343.0,1.4043036899381962,0.8438377837054513,24
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,43,1.0,5.944410581534946,0.5403023058681398,105
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,84,1.0,0.5769706814181332,0.5403023058681398,339
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,45,125.0,0.5402766739296717,0.7877145121442345,255
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,100,39304.0,2.025790915867646,0.8935123623661174,414
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,22,592704.0,1.0089303546212294,0.13399521291272173,193
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,36,9261000.0,121.63753475026189,0.8993339484284346,13
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,82,2406104.0,0.7614819393063025,0.5630868711673894,37
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,98,250047.0,2.3440166611427986,0.21166754060601453,408
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,8,300763.0,0.5026746699330502,0.8706451185026877,206
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,60,205379.0,1.4384569591461411,0.8668913779238857,261
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,35,389017.0,1.7488102347630208,0.9908866931049745,21
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,45,125000.0,0.5402766739296717,0.6748066245382345,36
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,58,373248.0,0.5017882105819239,0.08909767185442889,122
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,30,658503.0,83.55352537043731,0.9988925837752082,334
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,82,6539203.0,0.7614819393063025,0.9931284058776711,363
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,40,1860867.0,0.573028742574676,0.4173093082358627,0
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,40,857375.0,0.573028742574676,0.9814938312063979,185
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,54,132651.0,2.266489527055483,0.924225198966451,207
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,98,59319.0,2.3440166611427986,0.8512229700846954,273
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,96,46656.0,0.5041370124924979,0.9785486907389197,139
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,36,3375.0,121.63753475026189,0.5982426949828721,16
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,68,15625.0,9.796975387185967,0.2849338062760266,334
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,47,4096.0,0.8900177298266997,0.803990613485849,81
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,62,4096.0,3.8340720458680737,0.803990613485849,40
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,87,343.0,5.612234025512922,0.8438377837054513,402
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,97,1.0,0.7248437158702044,0.5403023058681398,263
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,21,125.0,0.5444678790179037,0.7877145121442345,6
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,54,8.0,2.266489527055483,0.14550003380861354,448
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,100,729.0,2.025790915867646,0.9886955804866999,421
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,26,3375.0,0.5673570710394846,0.5982426949828721,18
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,97,8000.0,0.7248437158702044,0.06564512751032302,204
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,94,226981.0,1.3249455192268595,0.5972100308691869,329
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,4,238328.0,4.111884294479769,0.878485497608328,84
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,39,941192.0,0.5092180208714154,0.6335358686373416,172
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,61,1061208.0,29.513995986914356,0.99997383432357,294
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,74,857375.0,67.32311401195065,0.9814938312063979,229
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,59,405224.0,0.6109713317819904,0.8187254508480504,146
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,45,438976.0,0.5402766739296717,0.3072314733386139,425
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,25,328509.0,1.1525407907094694,0.48834807665143615,441
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,99,166375.0,1260.7704250424647,0.8223078391293215,216
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,9,27000.0,0.7081558739235672,0.40598946176217077,423
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,38,21952.0,0.7713855584154635,0.1210355554669203,153
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,87,50653.0,5.612234025512922,0.4521284271007949,310
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,96,39304.0,0.5041370124924979,0.8935123623661174,209
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,88,10648.0,0.9658118980490871,0.4153243610054981,236
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,50,15625.0,1.3557021544363344,0.2849338062760266,312
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,79,1728.0,1.798925688187395,0.9923168327201398,451
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,34,1331.0,0.6539868700870936,0.5102807461770535,445
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,49,64.0,21.622861843277043,0.39185723042955,91
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,47,1.0,0.8900177298266997,0.5403023058681398,496
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,61,1.0,29.513995986914356,0.5403023058681398,327
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,59,1.0,0.6109713317819904,0.5403023058681398,134
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,27,216.0,0.5111492047520422,0.7179850839697136,3
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,57,1000.0,0.696298942266857,0.5623790762907029,14
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,94,6859.0,1.3249455192268595,0.6190709191736287,104
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,67,117649.0,6.921372193247372,0.876003261987607,140
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,32,117649.0,0.6445680044638951,0.876003261987607,42
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,77,571787.0,0.5001199891426975,0.14123908682440878,131
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,99,421875.0,1260.7704250424647,0.9986131186347414,479
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,42,373248.0,11.979139227322584,0.08909767185442889,156
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,69,551368.0,1.129668825806919,0.9358048728143991,16
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,91,778688.0,0.9041693413125955,0.961465970943261,31
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,95,238328.0,0.5940846816900167,0.878485497608328,358
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,89,110592.0,0.5376143475480764,0.08451108251254075,230
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,44,68921.0,0.9826059824898337,0.738222025394855,154
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,54,54872.0,2.266489527055483,0.5875954370147703,489
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,10,8000.0,2.193083986739962,0.06564512751032302,444
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,79,3375.0,1.798925688187395,0.5982426949828721,380
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,75,216.0,1.633404121532299,0.7179850839697136,495
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,73,125.0,3.0937909668046757,0.7877145121442345,465
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,88,1.0,0.9658118980490871,0.5403023058681398,11
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,57,27.0,0.696298942266857,0.2921388087338362,416
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,85,1.0,1.213703616753761,0.5403023058681398,493
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,39,27.0,0.5092180208714154,0.2921388087338362,326
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,50,27.0,1.3557021544363344,0.2921388087338362,140
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,2,29791.0,0.5237528663423374,0.7497355341511844,221
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,63,456533.0,0.8566369271513424,0.9947179590299335,349
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,21,6644672.0,0.5444678790179037,0.7863827988725233,91
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,62,830584.0,3.8340720458680737,0.9524963446376412,346
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,57,29791.0,0.696298942266857,0.7497355341511844,166
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,18,27000.0,4.015858573649374,0.40598946176217077,329
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,65,140608.0,0.5473967051355444,0.9657710534457514,472
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,11,157464.0,102109.07002447755,0.4598085148240586,121
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,69,103823.0,1.129668825806919,0.937988120773989,162
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,8,91125.0,0.5026746699330502,0.9993335830491854,234
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,68,405224.0,9.796975387185967,0.8187254508480504,59
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,69,5639752.0,1.129668825806919,0.8396242732213816,135
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,26,3723875.0,0.5673570710394846,0.7554616097652932,292
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,51,857375.0,0.5987202322070889,0.9814938312063979,29
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,80,405224.0,163.63007223971312,0.8187254508480504,383
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,89,54872.0,0.5376143475480764,0.5875954370147703,193
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,60,13824.0,1.4384569591461411,0.5467452846558348,291
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,7,5832.0,0.6035051827052901,0.35859409564894423,451
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,4,1728.0,4.111884294479769,0.9923168327201398,261
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,19,27.0,0.869658074441806,0.2921388087338362,383
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,67,27.0,6.921372193247372,0.2921388087338362,70
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,81,216.0,2.7018847930632726,0.7179850839697136,341
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,38,19683.0,0.7713855584154635,0.6042076152123113,10
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,62,970299.0,3.8340720458680737,0.7380522953874156,401
