instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_3,feature_y_3,feature_y_3
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,55,39304.0,4084.5228050458813
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,73,21952.0,3.0937909668046757
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,52,59319.0,0.503365605112174
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,17,4913.0,25.90505251316606
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,92,4913.0,4.534449634384539
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,27,729.0,0.5111492047520422
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,55,216.0,4084.5228050458813
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,86,27.0,13.064798934155936
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,6,8.0,1.3877622922787505
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,27,1.0,0.5111492047520422
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,50,512.0,1.3557021544363344
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,58,8000.0,0.5017882105819239
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,5,148877.0,24.34527915938213
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,58,343000.0,0.5017882105819239
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,59,804357.0,0.6109713317819904
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,40,421875.0,0.573028742574676
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,8,205379.0,0.5026746699330502
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,45,405224.0,0.5402766739296717
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,30,438976.0,83.55352537043731
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,82,274625.0,0.7614819393063025
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,67,148877.0,6.921372193247372
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,64,27000.0,0.5208262701161901
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,11,10648.0,102109.07002447755
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,31,29791.0,1.6779583343684343
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,3,729.0,0.8763320184878719
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,25,512.0,1.1525407907094694
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,49,125.0,21.622861843277043
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,91,8.0,0.9041693413125955
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,8,1.0,0.5026746699330502
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,45,27.0,0.5402766739296717
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,51,27000.0,0.5987202322070889
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,74,262144.0,67.32311401195065
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,10,3652264.0,2.193083986739962
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,65,681472.0,0.5473967051355444
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,58,85184.0,0.5017882105819239
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,17,132651.0,25.90505251316606
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,24,226981.0,10.590792759495987
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,35,226981.0,1.7488102347630208
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,23,456533.0,6.50281329350808
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,89,373248.0,0.5376143475480764
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,84,438976.0,0.5769706814181332
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,98,3869893.0,2.3440166611427986
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,39,3869893.0,0.5092180208714154
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,32,1331000.0,0.6445680044638951
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,30,140608.0,83.55352537043731
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,95,140608.0,0.5940846816900167
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,74,8000.0,67.32311401195065
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,69,1728.0,1.129668825806919
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,34,125.0,0.6539868700870936
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,77,8.0,0.5001199891426975
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,77,1.0,0.5001199891426975
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,10,8.0,2.193083986739962
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,29,64.0,2.9729510585814833
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,42,46656.0,11.979139227322584
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,49,830584.0,21.622861843277043
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,99,5735339.0,1260.7704250424647
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,39,1000000.0,0.5092180208714154
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,6,74088.0,1.3877622922787505
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,77,185193.0,0.5001199891426975
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,2,474552.0,0.5237528663423374
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,92,912673.0,4.534449634384539
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,13,250047.0,0.7041425227235925
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,8,274625.0,0.5026746699330502
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,4,571787.0,4.111884294479769
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,68,9528128.0,9.796975387185967
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,62,6028568.0,3.8340720458680737
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,34,1404928.0,0.6539868700870936
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,83,157464.0,0.5080359962611123
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,65,110592.0,0.5473967051355444
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,71,42875.0,0.5125433048899948
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,56,1331.0,2.09008693583188
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,49,216.0,21.622861843277043
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,83,216.0,0.5080359962611123
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,7,8.0,0.6035051827052901
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,44,8.0,0.9826059824898337
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,83,27.0,0.5080359962611123
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,19,35937.0,0.869658074441806
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,56,681472.0,2.09008693583188
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,76,7414875.0,0.6385257158828442
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,99,1520875.0,1260.7704250424647
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,21,185193.0,0.5444678790179037
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,78,97336.0,0.6605113804923478
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,94,493039.0,1.3249455192268595
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,36,357911.0,121.63753475026189
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,46,238328.0,0.5258208681509198
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,30,238328.0,83.55352537043731
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,80,704969.0,163.63007223971312
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,45,6859000.0,0.5402766739296717
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,72,4826809.0,0.7975605094780727
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,85,2299968.0,1.213703616753761
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,4,704969.0,4.111884294479769
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,87,79507.0,5.612234025512922
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,56,74088.0,2.09008693583188
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,3,6859.0,0.8763320184878719
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,92,1331.0,4.534449634384539
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,65,64.0,0.5473967051355444
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,97,8.0,0.7248437158702044
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,34,1.0,0.6539868700870936
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,18,64.0,4.015858573649374
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,48,46656.0,4.315081398019611
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,30,857375.0,83.55352537043731
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,43,10503459.0,5.944410581534946
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,88,1815848.0,0.9658118980490871
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,63,91125.0,0.8566369271513424
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,1,205379.0,0.5430441251857795
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,24,592704.0,10.590792759495987
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,59,300763.0,0.6109713317819904
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,33,343000.0,0.500022035944306
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,27,238328.0,0.5111492047520422
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,47,636056.0,0.8900177298266997
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,21,5088448.0,0.5444678790179037
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,33,4330747.0,0.500022035944306
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,28,1404928.0,0.7868403851802712
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,35,328509.0,1.7488102347630208
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,29,110592.0,2.9729510585814833
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,23,140608.0,6.50281329350808
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,99,12167.0,1260.7704250424647
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,59,4913.0,0.6109713317819904
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,70,343.0,0.5637325966004665
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,88,1.0,0.9658118980490871
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,21,1.0,0.5444678790179037
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,77,125.0,0.5001199891426975
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,15,39304.0,0.6059548980890475
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,15,592704.0,0.6059548980890475
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,12,9261000.0,2.15783677484981
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,65,2406104.0,0.5473967051355444
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,48,250047.0,4.315081398019611
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,80,300763.0,163.63007223971312
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,65,205379.0,0.5473967051355444
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,17,389017.0,25.90505251316606
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,97,125000.0,0.7248437158702044
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,2,373248.0,0.5237528663423374
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,18,658503.0,4.015858573649374
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,46,6539203.0,0.5258208681509198
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,61,1860867.0,29.513995986914356
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,27,857375.0,0.5111492047520422
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,60,132651.0,1.4384569591461411
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,29,59319.0,2.9729510585814833
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,34,46656.0,0.6539868700870936
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,11,3375.0,102109.07002447755
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,77,15625.0,0.5001199891426975
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,31,4096.0,1.6779583343684343
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,75,4096.0,1.633404121532299
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,86,343.0,13.064798934155936
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,33,1.0,0.500022035944306
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,6,125.0,1.3877622922787505
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,67,8.0,6.921372193247372
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,26,729.0,0.5673570710394846
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,90,3375.0,0.5279840346175494
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,63,8000.0,0.8566369271513424
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,73,226981.0,3.0937909668046757
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,97,238328.0,0.7248437158702044
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,89,941192.0,0.5376143475480764
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,65,1061208.0,0.5473967051355444
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,62,857375.0,3.8340720458680737
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,39,405224.0,0.5092180208714154
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,70,438976.0,0.5637325966004665
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,30,328509.0,83.55352537043731
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,35,166375.0,1.7488102347630208
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,78,27000.0,0.6605113804923478
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,60,21952.0,1.4384569591461411
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,97,50653.0,0.7248437158702044
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,34,39304.0,0.6539868700870936
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,5,10648.0,24.34527915938213
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,69,15625.0,1.129668825806919
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,33,1728.0,0.500022035944306
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,33,1331.0,0.500022035944306
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,53,64.0,0.7163707881255232
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,75,1.0,1.633404121532299
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,74,1.0,67.32311401195065
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,65,1.0,0.5473967051355444
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,4,216.0,4.111884294479769
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,2,1000.0,0.5237528663423374
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,28,6859.0,0.7868403851802712
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,68,117649.0,9.796975387185967
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,39,117649.0,0.5092180208714154
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,4,571787.0,4.111884294479769
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,70,421875.0,0.5637325966004665
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,99,373248.0,1260.7704250424647
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,58,551368.0,0.5017882105819239
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,97,778688.0,0.7248437158702044
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,81,238328.0,2.7018847930632726
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,84,110592.0,0.5769706814181332
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,92,68921.0,4.534449634384539
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,83,54872.0,0.5080359962611123
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,71,8000.0,0.5125433048899948
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,80,3375.0,163.63007223971312
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,65,216.0,0.5473967051355444
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,87,125.0,5.612234025512922
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,22,1.0,1.0089303546212294
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,41,27.0,1.1885273858987428
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,97,1.0,0.7248437158702044
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,67,27.0,6.921372193247372
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,65,27.0,0.5473967051355444
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,43,29791.0,5.944410581534946
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,37,456533.0,2.8053491651647224
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,65,6644672.0,0.5473967051355444
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,55,830584.0,4084.5228050458813
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,40,29791.0,0.573028742574676
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,94,27000.0,1.3249455192268595
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,87,140608.0,5.612234025512922
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,55,157464.0,4084.5228050458813
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,63,103823.0,0.8566369271513424
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,96,91125.0,0.5041370124924979
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,73,405224.0,3.0937909668046757
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,69,5639752.0,1.129668825806919
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,32,3723875.0,0.6445680044638951
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,64,857375.0,0.5208262701161901
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,23,405224.0,6.50281329350808
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,44,54872.0,0.9826059824898337
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,39,13824.0,0.5092180208714154
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,98,5832.0,2.3440166611427986
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,84,1728.0,0.5769706814181332
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,17,27.0,25.90505251316606
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,87,27.0,5.612234025512922
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,100,216.0,2.025790915867646
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,91,19683.0,0.9041693413125955
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,19,970299.0,0.869658074441806
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,64,10218313.0,0.5208262701161901
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,20,2197000.0,0.5227541141700891
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,87,157464.0,5.612234025512922
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,23,42875.0,6.50281329350808
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,65,185193.0,0.5473967051355444
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,74,140608.0,67.32311401195065
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,58,250047.0,0.5017882105819239
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,14,103823.0,0.5023592408312615
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,44,438976.0,0.9826059824898337
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,78,2515456.0,0.6605113804923478
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,85,857375.0,1.213703616753761
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,68,132651.0,9.796975387185967
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,87,32768.0,5.612234025512922
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,90,8000.0,0.5279840346175494
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,78,24389.0,0.6605113804923478
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,88,6859.0,0.9658118980490871
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,98,343.0,2.3440166611427986
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,67,216.0,6.921372193247372
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,15,1.0,0.6059548980890475
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,37,125.0,2.8053491651647224
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,80,4096.0,163.63007223971312
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,35,157464.0,1.7488102347630208
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,70,2097152.0,0.5637325966004665
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,1,531441.0,0.5430441251857795
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,64,59319.0,0.5208262701161901
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,20,42875.0,0.5227541141700891
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,17,166375.0,25.90505251316606
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,73,117649.0,3.0937909668046757
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,32,85184.0,0.6445680044638951
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,47,117649.0,0.8900177298266997
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,1,314432.0,0.5430441251857795
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,55,2685619.0,4084.5228050458813
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,49,2571353.0,21.622861843277043
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,41,571787.0,1.1885273858987428
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,85,175616.0,1.213703616753761
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,32,185193.0,0.6445680044638951
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,9,35937.0,0.7081558739235672
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,1,8000.0,0.5430441251857795
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,24,343.0,10.590792759495987
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,31,8.0,1.6779583343684343
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,25,8.0,1.1525407907094694
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,53,27.0,0.7163707881255232
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,75,64.0,1.633404121532299
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,100,27.0,2.025790915867646
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,29,21952.0,2.9729510585814833
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,17,373248.0,25.90505251316606
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,99,8242408.0,1260.7704250424647
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,67,2685619.0,6.921372193247372
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,41,54872.0,1.1885273858987428
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,51,50653.0,0.5987202322070889
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,45,140608.0,0.5402766739296717
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,30,571787.0,83.55352537043731
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,30,74088.0,83.55352537043731
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,76,216000.0,0.6385257158828442
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,62,474552.0,3.8340720458680737
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,15,4251528.0,0.6059548980890475
