instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_2,feature_y_2
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,97,148877.0
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,59,343000.0
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,30,804357.0
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,42,421875.0
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,98,205379.0
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,51,405224.0
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,46,438976.0
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,25,274625.0
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,35,148877.0
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,75,27000.0
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,74,10648.0
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,6,29791.0
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,47,729.0
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,92,512.0
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,35,125.0
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,0,8.0
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,30,1.0
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,37,27.0
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,56,27000.0
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,97,262144.0
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,16,3652264.0
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,74,681472.0
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,15,85184.0
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,65,132651.0
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,24,226981.0
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,92,226981.0
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,42,456533.0
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,49,373248.0
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,4,438976.0
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,61,3869893.0
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,11,3869893.0
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,7,1331000.0
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,95,140608.0
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,40,140608.0
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,48,8000.0
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,35,1728.0
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,43,125.0
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,41,8.0
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,27,1.0
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,33,8.0
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,61,64.0
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,41,46656.0
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,36,830584.0
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,19,5735339.0
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,52,1000000.0
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,78,74088.0
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,18,185193.0
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,74,474552.0
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,40,912673.0
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,42,250047.0
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,78,274625.0
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,88,571787.0
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,27,9528128.0
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,68,6028568.0
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,1,1404928.0
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,59,157464.0
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,91,110592.0
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,60,42875.0
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,79,1331.0
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,73,216.0
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,32,216.0
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,96,8.0
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,21,8.0
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,0,27.0
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,37,35937.0
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,40,681472.0
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,38,7414875.0
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,65,1520875.0
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,26,185193.0
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,38,97336.0
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,44,493039.0
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,56,357911.0
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,74,238328.0
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,15,238328.0
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,99,704969.0
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,68,6859000.0
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,78,4826809.0
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,91,2299968.0
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,52,704969.0
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,68,79507.0
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,2,74088.0
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,36,6859.0
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,36,1331.0
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,65,64.0
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,100,8.0
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,18,1.0
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,12,64.0
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,13,46656.0
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,47,857375.0
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,84,10503459.0
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,99,1815848.0
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,2,91125.0
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,8,205379.0
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,63,592704.0
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,53,300763.0
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,82,343000.0
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,91,238328.0
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,25,636056.0
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,88,5088448.0
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,32,4330747.0
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,44,1404928.0
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,83,328509.0
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,21,110592.0
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,72,140608.0
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,15,12167.0
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,65,4913.0
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,33,343.0
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,97,1.0
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,89,1.0
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,43,125.0
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,37,39304.0
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,46,592704.0
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,56,9261000.0
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,70,2406104.0
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,39,250047.0
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,73,300763.0
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,100,205379.0
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,48,389017.0
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,17,125000.0
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,31,373248.0
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,49,658503.0
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,69,6539203.0
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,24,1860867.0
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,58,857375.0
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,22,132651.0
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,87,59319.0
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,41,46656.0
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,47,3375.0
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,23,15625.0
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,11,4096.0
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,28,4096.0
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,40,343.0
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,40,1.0
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,11,125.0
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,52,8.0
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,43,729.0
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,4,3375.0
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,74,8000.0
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,26,226981.0
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,60,238328.0
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,15,941192.0
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,45,1061208.0
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,95,857375.0
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,73,405224.0
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,69,438976.0
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,56,328509.0
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,80,166375.0
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,71,27000.0
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,89,21952.0
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,99,50653.0
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,97,39304.0
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,2,10648.0
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,34,15625.0
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,86,1728.0
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,99,1331.0
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,36,64.0
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,22,1.0
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,46,1.0
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,56,1.0
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,45,216.0
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,89,1000.0
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,16,6859.0
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,63,117649.0
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,28,117649.0
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,21,571787.0
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,9,421875.0
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,71,373248.0
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,56,551368.0
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,25,778688.0
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,8,238328.0
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,36,110592.0
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,16,68921.0
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,76,54872.0
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,75,8000.0
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,44,3375.0
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,18,216.0
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,43,125.0
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,47,1.0
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,65,27.0
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,38,1.0
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,26,27.0
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,75,27.0
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,24,29791.0
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,60,456533.0
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,67,6644672.0
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,4,830584.0
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,1,29791.0
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,99,27000.0
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,77,140608.0
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,52,157464.0
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,60,103823.0
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,47,91125.0
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,100,405224.0
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,15,5639752.0
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,2,3723875.0
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,97,857375.0
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,29,405224.0
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,97,54872.0
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,49,13824.0
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,69,5832.0
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,44,1728.0
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,92,27.0
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,96,27.0
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,25,216.0
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,85,19683.0
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,20,970299.0
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,59,10218313.0
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,9,2197000.0
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,2,157464.0
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,68,42875.0
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,65,185193.0
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,42,140608.0
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,41,250047.0
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,82,103823.0
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,77,438976.0
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,42,2515456.0
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,33,857375.0
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,71,132651.0
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,96,32768.0
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,28,8000.0
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,36,24389.0
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,27,6859.0
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,99,343.0
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,32,216.0
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,69,1.0
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,94,125.0
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,53,4096.0
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,29,157464.0
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,63,2097152.0
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,49,531441.0
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,63,59319.0
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,96,42875.0
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,28,166375.0
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,56,117649.0
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,46,85184.0
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,28,117649.0
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,64,314432.0
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,7,2685619.0
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,94,2571353.0
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,74,571787.0
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,93,175616.0
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,89,185193.0
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,8,35937.0
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,56,8000.0
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,56,343.0
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,98,8.0
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,10,8.0
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,72,27.0
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,81,64.0
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,65,27.0
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,100,21952.0
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,35,373248.0
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,85,8242408.0
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,2,2685619.0
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,90,54872.0
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,14,50653.0
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,94,140608.0
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,60,571787.0
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,54,74088.0
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,66,216000.0
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,11,474552.0
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,0,4251528.0
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,13,2985984.0
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,78,970299.0
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,82,262144.0
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,73,64000.0
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,44,27000.0
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,46,3375.0
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,17,2744.0
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,13,125.0
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,97,1.0
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,72,1.0
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,35,512.0
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,60,4913.0
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,15,343000.0
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,44,3944312.0
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,33,1601613.0
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,70,85184.0
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,37,148877.0
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,35,226981.0
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,22,456533.0
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,33,262144.0
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,7,314432.0
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,24,729000.0
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,38,4019679.0
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,2,2685619.0
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,26,778688.0
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,57,314432.0
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,72,140608.0
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,84,46656.0
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,62,19683.0
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,1,21952.0
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,96,8000.0
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,63,1728.0
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,20,512.0
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,50,125.0
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,58,1.0
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,63,27.0
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,26,1000.0
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,76,12167.0
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,67,35937.0
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,10,205379.0
336,1,0,1,11,0.2,0.197,0.55,0.2239,18,72,75,373248.0
337,1,0,1,12,0.24,0.2273,0.48,0.2239,15,89,51,704969.0
338,1,0,1,13,0.28,0.2576,0.38,0.2985,21,101,45,1030301.0
339,1,0,1,14,0.3,0.2879,0.39,0.2836,26,118,59,1643032.0
340,1,0,1,15,0.32,0.3182,0.36,0.194,21,129,50,2146689.0
341,1,0,1,16,0.34,0.3333,0.34,0.194,33,128,91,2097152.0
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,94,571787.0
343,1,0,1,18,0.3,0.2879,0.45,0.2537,15,84,24,592704.0
344,1,0,1,19,0.32,0.303,0.39,0.2537,14,74,67,405224.0
345,1,0,1,20,0.32,0.303,0.39,0.2537,6,41,73,68921.0
346,1,0,1,21,0.32,0.303,0.39,0.2239,6,57,42,185193.0
347,1,0,1,22,0.3,0.3182,0.42,0.1045,0,26,47,17576.0
348,1,0,1,23,0.3,0.2879,0.45,0.2836,5,44,12,85184.0
349,1,0,1,0,0.26,0.303,0.56,0,6,39,58,59319.0
350,1,0,1,1,0.26,0.2727,0.56,0.1343,4,23,84,12167.0
351,1,0,1,2,0.26,0.2879,0.56,0.0896,3,16,100,4096.0
352,1,0,1,3,0.22,0.2727,0.69,0,9,15,63,3375.0
353,1,0,1,4,0.26,0.2576,0.56,0.1642,0,1,77,1.0
354,1,0,1,5,0.26,0.2576,0.56,0.1642,1,2,45,8.0
355,1,0,1,6,0.26,0.2576,0.56,0.1642,0,1,65,1.0
356,1,0,1,7,0.24,0.2121,0.56,0.2985,0,3,32,27.0
357,1,0,1,8,0.22,0.2121,0.55,0.2836,0,18,77,5832.0
358,1,0,1,9,0.22,0.2121,0.51,0.2537,3,32,13,32768.0
359,1,0,1,10,0.22,0.2121,0.51,0.2836,8,79,86,493039.0
360,1,0,1,11,0.24,0.2273,0.44,0.2537,23,93,43,804357.0
361,1,0,1,12,0.24,0.2121,0.41,0.2836,29,104,41,1124864.0
362,1,0,1,13,0.26,0.2273,0.35,0.2985,23,118,88,1643032.0
