instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,39,989
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,16,983
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,17,725
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,93,602
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,91,671
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,12,551
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,90,524
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,0,709
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,35,985
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,55,978
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,27,675
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,79,517
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,3,690
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,29,708
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,10,784
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,58,589
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,44,761
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,11,509
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,17,573
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,63,579
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,95,567
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,46,715
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,70,886
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,3,558
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,4,513
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,67,749
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,95,838
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,51,517
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,64,569
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,54,654
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,16,865
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,91,600
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,29,985
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,95,929
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,70,793
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,42,677
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,82,958
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,1,768
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,89,912
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,34,868
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,82,985
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,79,737
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,6,861
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,26,917
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,16,886
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,98,929
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,25,845
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,71,876
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,3,509
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,19,614
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,4,791
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,14,692
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,59,537
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,26,804
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,29,694
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,61,863
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,68,725
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,2,618
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,79,961
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,80,888
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,18,539
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,47,591
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,6,890
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,76,719
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,83,635
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,67,678
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,40,611
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,77,566
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,94,791
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,28,938
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,79,807
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,27,967
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,68,719
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,42,737
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,85,703
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,62,933
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,3,694
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,16,842
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,46,682
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,51,674
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,76,535
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,69,989
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,36,796
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,50,990
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,100,896
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,0,590
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,4,793
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,13,779
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,29,684
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,69,572
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,23,557
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,39,804
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,81,595
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,20,715
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,82,600
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,46,545
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,65,618
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,86,735
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,29,978
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,76,628
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,4,621
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,24,533
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,1,685
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,63,814
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,23,900
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,41,546
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,11,804
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,21,766
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,63,708
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,82,930
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,59,540
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,8,633
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,91,606
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,66,907
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,13,771
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,79,613
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,37,513
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,18,740
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,78,824
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,36,711
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,93,572
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,50,708
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,90,801
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,89,716
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,69,723
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,15,952
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,48,739
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,37,840
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,29,767
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,71,519
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,11,717
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,8,790
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,72,998
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,57,991
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,81,733
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,46,880
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,66,541
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,71,975
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,34,983
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,80,916
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,92,937
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,59,859
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,84,786
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,53,708
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,26,656
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,87,949
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,98,850
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,2,977
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,46,983
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,31,545
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,85,798
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,100,736
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,26,580
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,95,659
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,46,875
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,72,689
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,61,828
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,96,876
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,35,634
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,86,816
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,80,770
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,61,981
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,4,641
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,85,707
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,16,924
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,65,568
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,83,972
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,22,648
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,64,510
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,35,662
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,95,701
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,3,944
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,30,705
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,12,734
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,87,627
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,94,768
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,1,651
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,59,561
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,7,589
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,60,770
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,8,823
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,58,943
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,40,897
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,61,669
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,81,751
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,65,931
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,82,902
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,73,916
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,8,688
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,48,903
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,20,694
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,71,591
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,69,786
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,68,831
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,78,745
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,72,624
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,94,574
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,24,638
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,74,673
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,33,510
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,87,919
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,35,544
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,52,717
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,29,801
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,49,519
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,81,592
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,45,757
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,8,706
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,66,710
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,8,569
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,2,675
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,3,920
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,24,761
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,82,836
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,46,786
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,83,746
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,0,905
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,46,645
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,62,959
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,34,648
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,41,994
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,78,573
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,7,944
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,24,930
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,59,703
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,45,981
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,28,666
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,21,921
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,89,719
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,63,950
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,30,550
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,11,598
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,25,528
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,34,684
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,35,752
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,35,953
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,89,649
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,2,522
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,94,778
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,87,978
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,85,690
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,45,628
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,6,813
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,86,727
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,48,792
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,66,914
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,71,687
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,55,945
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,36,550
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,98,781
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,43,521
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,95,562
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,5,597
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,37,850
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,36,626
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,95,653
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,15,694
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,60,847
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,30,846
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,13,745
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,83,873
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,54,906
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,49,818
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,36,655
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,51,594
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,34,937
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,56,948
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,26,969
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,33,914
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,16,599
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,29,856
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,22,883
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,57,988
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,100,651
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,50,506
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,22,516
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,1,741
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,4,657
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,40,845
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,15,754
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,97,560
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,97,587
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,33,675
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,0,708
336,1,0,1,11,0.2,0.197,0.55,0.2239,18,72,79,526
337,1,0,1,12,0.24,0.2273,0.48,0.2239,15,89,100,603
338,1,0,1,13,0.28,0.2576,0.38,0.2985,21,101,99,632
339,1,0,1,14,0.3,0.2879,0.39,0.2836,26,118,30,935
340,1,0,1,15,0.32,0.3182,0.36,0.194,21,129,58,911
341,1,0,1,16,0.34,0.3333,0.34,0.194,33,128,20,727
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,94,791
343,1,0,1,18,0.3,0.2879,0.45,0.2537,15,84,10,620
344,1,0,1,19,0.32,0.303,0.39,0.2537,14,74,19,917
345,1,0,1,20,0.32,0.303,0.39,0.2537,6,41,9,914
346,1,0,1,21,0.32,0.303,0.39,0.2239,6,57,3,507
347,1,0,1,22,0.3,0.3182,0.42,0.1045,0,26,54,995
348,1,0,1,23,0.3,0.2879,0.45,0.2836,5,44,84,714
349,1,0,1,0,0.26,0.303,0.56,0,6,39,80,532
350,1,0,1,1,0.26,0.2727,0.56,0.1343,4,23,49,834
351,1,0,1,2,0.26,0.2879,0.56,0.0896,3,16,64,541
352,1,0,1,3,0.22,0.2727,0.69,0,9,15,26,751
353,1,0,1,4,0.26,0.2576,0.56,0.1642,0,1,91,738
354,1,0,1,5,0.26,0.2576,0.56,0.1642,1,2,86,663
355,1,0,1,6,0.26,0.2576,0.56,0.1642,0,1,89,653
356,1,0,1,7,0.24,0.2121,0.56,0.2985,0,3,59,643
357,1,0,1,8,0.22,0.2121,0.55,0.2836,0,18,27,638
358,1,0,1,9,0.22,0.2121,0.51,0.2537,3,32,26,511
359,1,0,1,10,0.22,0.2121,0.51,0.2836,8,79,48,833
360,1,0,1,11,0.24,0.2273,0.44,0.2537,23,93,42,999
361,1,0,1,12,0.24,0.2121,0.41,0.2836,29,104,43,735
362,1,0,1,13,0.26,0.2273,0.35,0.2985,23,118,16,727
363,1,0,1,14,0.28,0.2727,0.36,0.2537,22,91,55,636
364,1,0,1,15,0.26,0.2424,0.38,0.2537,35,113,61,627
365,1,0,1,16,0.24,0.2273,0.38,0.2239,22,99,5,500
366,1,0,1,17,0.22,0.2121,0.37,0.2537,23,105,95,529
367,1,0,1,18,0.2,0.2121,0.4,0.1642,11,67,29,738
368,1,0,1,19,0.18,0.197,0.47,0.1343,14,61,49,883
369,1,0,1,20,0.18,0.197,0.47,0.1642,7,57,78,561
370,1,0,1,21,0.18,0.197,0.51,0.1642,6,28,99,934
371,1,0,1,22,0.2,0.2121,0.49,0.1343,2,21,42,768
372,1,0,1,23,0.2,0.2273,0.4,0.1045,0,18,26,590
373,1,0,1,0,0.2,0.197,0.47,0.2239,1,17,82,876
374,1,0,1,1,0.2,0.197,0.44,0.194,1,16,67,973
375,1,0,1,2,0.18,0.1667,0.43,0.2537,0,8,81,665
376,1,0,1,3,0.18,0.1818,0.43,0.194,0,2,38,782
377,1,0,1,4,0.18,0.197,0.43,0.1343,1,3,18,714
378,1,0,1,5,0.18,0.197,0.43,0.1642,0,1,30,669
379,1,0,1,6,0.18,0.1818,0.43,0.194,0,5,22,851
380,1,0,1,7,0.16,0.1818,0.5,0.1343,4,13,9,857
381,1,0,1,8,0.16,0.1515,0.47,0.2239,3,33,16,828
382,1,0,1,9,0.16,0.1515,0.47,0.2239,8,47,61,745
383,1,0,1,10,0.16,0.1515,0.5,0.2537,7,57,94,632
384,1,0,1,11,0.16,0.1515,0.55,0.194,9,64,43,880
385,1,0,1,12,0.18,0.197,0.47,0.1343,10,80,62,974
386,1,0,1,13,0.18,0.197,0.47,0.1343,13,93,0,534
387,1,0,1,14,0.18,0.2121,0.43,0.1045,12,86,83,844
388,1,0,1,15,0.2,0.2121,0.47,0.1642,21,93,51,678
389,1,0,1,16,0.2,0.2121,0.47,0.1642,6,82,93,845
390,1,0,1,17,0.2,0.197,0.51,0.194,4,71,30,593
391,1,0,1,18,0.18,0.1667,0.55,0.2537,7,92,12,653
392,1,0,1,19,0.18,0.1818,0.59,0.194,2,60,13,982
