instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,82
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,22
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,92
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,81
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,50
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,30
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,84
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,90
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,70
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,87
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,12
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,95
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,32
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,30
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,93
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,18
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,78
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,25
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,89
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,59
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,17
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,45
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,70
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,34
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,94
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,22
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,66
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,8
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,53
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,1
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,56
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,14
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,67
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,27
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,20
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,10
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,2
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,68
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,82
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,69
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,58
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,13
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,45
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,59
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,75
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,40
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,89
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,15
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,12
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,58
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,23
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,5
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,44
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,27
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,86
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,45
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,44
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,95
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,77
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,36
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,6
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,11
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,20
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,22
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,65
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,16
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,46
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,75
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,83
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,72
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,98
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,46
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,72
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,9
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,2
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,55
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,54
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,75
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,5
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,82
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,74
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,40
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,36
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,35
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,22
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,37
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,96
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,62
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,53
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,45
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,15
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,43
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,7
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,34
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,6
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,23
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,54
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,0
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,77
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,26
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,21
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,0
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,52
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,77
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,44
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,75
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,92
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,86
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,48
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,73
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,24
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,8
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,97
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,10
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,10
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,8
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,20
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,79
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,68
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,32
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,95
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,59
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,57
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,27
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,30
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,14
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,83
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,92
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,6
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,56
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,40
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,85
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,77
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,48
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,1
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,3
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,88
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,29
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,29
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,67
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,14
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,62
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,89
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,23
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,8
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,64
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,92
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,84
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,79
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,8
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,68
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,79
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,53
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,45
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,71
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,33
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,40
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,58
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,32
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,38
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,38
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,42
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,68
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,90
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,68
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,90
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,70
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,21
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,90
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,33
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,30
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,73
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,65
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,29
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,63
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,22
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,34
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,18
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,55
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,24
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,37
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,30
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,72
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,6
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,7
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,22
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,58
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,34
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,91
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,11
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,24
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,39
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,33
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,94
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,76
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,43
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,77
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,49
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,97
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,66
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,61
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,78
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,74
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,23
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,28
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,74
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,69
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,8
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,40
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,51
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,65
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,71
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,32
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,65
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,71
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,26
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,66
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,9
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,68
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,27
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,82
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,54
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,28
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,25
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,56
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,36
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,21
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,21
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,97
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,1
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,45
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,46
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,76
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,76
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,71
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,28
336,1,0,1,11,0.2,0.197,0.55,0.2239,18,72,52
337,1,0,1,12,0.24,0.2273,0.48,0.2239,15,89,89
338,1,0,1,13,0.28,0.2576,0.38,0.2985,21,101,82
339,1,0,1,14,0.3,0.2879,0.39,0.2836,26,118,44
340,1,0,1,15,0.32,0.3182,0.36,0.194,21,129,59
341,1,0,1,16,0.34,0.3333,0.34,0.194,33,128,12
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,26
343,1,0,1,18,0.3,0.2879,0.45,0.2537,15,84,65
344,1,0,1,19,0.32,0.303,0.39,0.2537,14,74,95
345,1,0,1,20,0.32,0.303,0.39,0.2537,6,41,98
346,1,0,1,21,0.32,0.303,0.39,0.2239,6,57,53
347,1,0,1,22,0.3,0.3182,0.42,0.1045,0,26,76
348,1,0,1,23,0.3,0.2879,0.45,0.2836,5,44,43
349,1,0,1,0,0.26,0.303,0.56,0,6,39,25
350,1,0,1,1,0.26,0.2727,0.56,0.1343,4,23,94
351,1,0,1,2,0.26,0.2879,0.56,0.0896,3,16,100
352,1,0,1,3,0.22,0.2727,0.69,0,9,15,60
353,1,0,1,4,0.26,0.2576,0.56,0.1642,0,1,55
354,1,0,1,5,0.26,0.2576,0.56,0.1642,1,2,84
355,1,0,1,6,0.26,0.2576,0.56,0.1642,0,1,2
356,1,0,1,7,0.24,0.2121,0.56,0.2985,0,3,27
357,1,0,1,8,0.22,0.2121,0.55,0.2836,0,18,87
358,1,0,1,9,0.22,0.2121,0.51,0.2537,3,32,97
359,1,0,1,10,0.22,0.2121,0.51,0.2836,8,79,69
360,1,0,1,11,0.24,0.2273,0.44,0.2537,23,93,5
361,1,0,1,12,0.24,0.2121,0.41,0.2836,29,104,7
362,1,0,1,13,0.26,0.2273,0.35,0.2985,23,118,3
363,1,0,1,14,0.28,0.2727,0.36,0.2537,22,91,98
364,1,0,1,15,0.26,0.2424,0.38,0.2537,35,113,35
365,1,0,1,16,0.24,0.2273,0.38,0.2239,22,99,46
366,1,0,1,17,0.22,0.2121,0.37,0.2537,23,105,83
367,1,0,1,18,0.2,0.2121,0.4,0.1642,11,67,52
368,1,0,1,19,0.18,0.197,0.47,0.1343,14,61,36
369,1,0,1,20,0.18,0.197,0.47,0.1642,7,57,78
370,1,0,1,21,0.18,0.197,0.51,0.1642,6,28,63
371,1,0,1,22,0.2,0.2121,0.49,0.1343,2,21,47
372,1,0,1,23,0.2,0.2273,0.4,0.1045,0,18,57
373,1,0,1,0,0.2,0.197,0.47,0.2239,1,17,55
374,1,0,1,1,0.2,0.197,0.44,0.194,1,16,43
375,1,0,1,2,0.18,0.1667,0.43,0.2537,0,8,38
376,1,0,1,3,0.18,0.1818,0.43,0.194,0,2,5
377,1,0,1,4,0.18,0.197,0.43,0.1343,1,3,76
378,1,0,1,5,0.18,0.197,0.43,0.1642,0,1,10
379,1,0,1,6,0.18,0.1818,0.43,0.194,0,5,24
380,1,0,1,7,0.16,0.1818,0.5,0.1343,4,13,85
381,1,0,1,8,0.16,0.1515,0.47,0.2239,3,33,95
382,1,0,1,9,0.16,0.1515,0.47,0.2239,8,47,14
383,1,0,1,10,0.16,0.1515,0.5,0.2537,7,57,76
384,1,0,1,11,0.16,0.1515,0.55,0.194,9,64,94
385,1,0,1,12,0.18,0.197,0.47,0.1343,10,80,82
386,1,0,1,13,0.18,0.197,0.47,0.1343,13,93,28
387,1,0,1,14,0.18,0.2121,0.43,0.1045,12,86,59
388,1,0,1,15,0.2,0.2121,0.47,0.1642,21,93,5
389,1,0,1,16,0.2,0.2121,0.47,0.1642,6,82,10
390,1,0,1,17,0.2,0.197,0.51,0.194,4,71,89
391,1,0,1,18,0.18,0.1667,0.55,0.2537,7,92,25
392,1,0,1,19,0.18,0.1818,0.59,0.194,2,60,42
393,1,0,1,20,0.16,0.1515,0.8,0.194,4,33,50
394,1,0,1,21,0.16,0.1515,0.8,0.194,3,27,56
395,1,0,1,22,0.14,0.1212,0.93,0.2537,0,13,22
396,1,0,1,23,0.16,0.1364,0.86,0.2836,1,4,50
397,1,0,1,12,0.2,0.1818,0.86,0.3284,0,3,87
398,1,0,1,13,0.2,0.197,0.86,0.2239,0,22,35
399,1,0,1,14,0.22,0.2273,0.8,0.1642,2,28,84
400,1,0,1,15,0.22,0.2273,0.87,0.1642,3,35,28
401,1,0,1,16,0.22,0.2273,0.87,0.194,0,61,68
402,1,0,1,17,0.22,0.2273,0.82,0.194,1,125,35
403,1,0,1,18,0.22,0.2273,0.8,0.1642,1,133,40
404,1,0,1,19,0.22,0.2273,0.8,0.1343,1,99,74
405,1,0,1,20,0.22,0.2727,0.87,0,0,83,84
406,1,0,1,21,0.22,0.2424,0.93,0.1045,0,41,67
407,1,0,1,22,0.22,0.2576,0.93,0.0896,0,33,69
408,1,0,1,23,0.22,0.2727,0.93,0,1,20,59
409,1,0,1,0,0.22,0.2727,0.93,0,0,3,39
410,1,0,1,1,0.22,0.2273,0.93,0.1343,1,7,91
411,1,0,1,2,0.22,0.2273,0.93,0.1343,0,3,65
412,1,0,1,4,0.22,0.2273,0.93,0.1343,1,2,33
413,1,0,1,5,0.22,0.2576,0.93,0.0896,0,7,66
414,1,0,1,6,0.22,0.2576,0.93,0.0896,0,32,73
415,1,0,1,7,0.24,0.2576,0.92,0.1045,1,90,44
416,1,0,1,8,0.24,0.2576,0.93,0.1045,1,197,0
