instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3,feature4
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,2,915,69,744
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,32,508,112,631
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,91,526,227,743
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,67,570,207,631
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,26,605,67,674
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,85,613,3,694
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,82,690,37,563
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,43,995,35,504
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,66,906,204,559
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,79,903,157,527
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,35,804,222,521
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,69,735,56,555
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,72,775,111,600
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,66,561,34,677
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,16,822,153,723
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,0,902,105,677
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,21,921,35,580
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,97,972,226,725
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,7,904,167,652
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,20,958,249,519
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,27,666,88,740
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,1,703,62,642
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,70,778,159,714
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,69,970,187,624
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,81,828,135,674
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,57,982,109,540
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,66,645,106,501
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,77,944,176,593
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,17,743,193,591
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,88,854,179,633
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,19,792,87,621
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,48,726,214,583
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,30,911,226,648
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,33,965,111,705
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,95,963,154,659
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,8,963,209,643
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,79,732,31,542
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,95,769,167,719
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,49,715,33,523
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,98,731,75,691
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,71,880,131,705
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,44,692,39,694
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,33,902,63,662
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,78,791,171,501
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,2,692,193,514
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,19,637,80,738
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,17,899,217,647
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,39,754,217,654
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,85,677,17,632
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,89,815,86,614
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,35,773,207,716
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,65,679,202,517
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,81,564,33,520
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,33,609,53,674
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,70,947,216,742
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,37,898,127,724
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,78,949,155,693
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,42,890,209,544
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,10,991,238,744
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,38,729,147,506
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,40,962,85,520
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,94,925,113,725
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,30,958,123,555
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,97,827,47,513
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,82,825,145,750
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,42,725,183,732
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,21,936,88,690
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,74,618,39,624
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,70,621,215,541
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,18,687,87,553
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,64,985,158,591
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,62,829,129,514
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,99,946,178,735
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,59,507,181,693
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,10,976,87,734
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,80,955,244,627
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,38,755,162,506
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,34,623,52,519
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,2,759,10,521
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,81,530,112,533
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,71,510,54,638
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,81,602,107,698
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,98,624,103,609
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,63,954,161,668
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,17,787,41,626
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,5,661,232,511
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,30,854,227,723
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,52,994,194,573
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,24,953,155,730
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,32,551,202,747
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,16,946,13,620
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,45,552,215,655
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,10,723,242,671
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,15,823,154,705
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,42,606,44,603
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,99,756,106,554
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,29,671,162,732
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,96,965,248,702
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,39,862,187,623
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,19,967,156,596
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,25,948,204,716
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,93,902,217,555
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,92,821,26,573
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,28,950,237,656
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,17,801,219,544
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,63,917,99,747
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,40,741,78,707
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,17,609,10,600
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,17,800,175,736
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,84,901,110,692
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,49,988,87,686
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,14,993,15,508
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,75,570,72,600
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,78,553,84,703
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,7,722,53,590
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,17,626,47,651
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,10,911,57,534
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,28,865,95,694
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,99,852,43,714
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,3,620,4,558
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,75,848,155,561
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,38,578,146,617
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,54,842,42,518
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,83,850,60,523
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,82,781,122,676
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,70,618,246,556
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,50,936,165,714
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,12,793,211,577
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,69,691,43,619
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,0,716,185,518
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,88,706,132,654
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,74,766,218,568
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,82,789,159,739
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,15,780,110,620
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,36,916,157,506
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,88,957,107,518
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,65,696,199,556
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,56,963,215,638
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,70,627,179,589
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,64,785,30,561
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,70,759,124,539
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,29,743,40,589
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,18,780,239,616
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,84,692,198,737
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,99,533,239,624
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,20,553,32,567
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,53,873,175,608
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,81,782,241,571
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,37,694,79,642
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,82,1000,230,684
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,48,536,38,614
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,32,599,200,607
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,1,629,202,628
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,53,845,76,711
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,90,751,210,688
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,6,873,98,619
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,56,796,96,681
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,67,855,237,553
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,56,944,224,692
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,19,940,221,544
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,92,922,22,521
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,2,502,54,714
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,75,673,147,641
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,17,637,83,731
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,82,912,212,712
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,73,744,95,731
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,61,590,160,502
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,32,669,62,651
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,26,648,201,727
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,68,709,41,622
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,8,622,154,720
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,30,786,53,701
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,62,679,225,547
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,50,689,239,703
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,92,768,13,522
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,23,769,22,681
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,53,546,62,582
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,83,845,6,714
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,68,505,242,656
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,91,787,240,747
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,79,742,51,555
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,5,560,189,624
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,46,772,47,736
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,24,857,234,728
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,90,737,32,588
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,30,522,203,605
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,18,620,128,550
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,60,788,127,667
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,99,536,56,606
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,1,611,176,630
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,26,961,92,598
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,35,843,128,588
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,66,841,127,616
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,77,504,191,515
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,18,709,55,519
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,99,921,141,589
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,47,629,92,624
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,43,664,118,678
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,49,745,250,674
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,77,868,118,550
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,64,628,192,688
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,42,739,103,665
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,35,612,54,741
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,41,578,144,687
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,34,828,35,644
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,93,750,73,668
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,48,974,223,732
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,65,968,13,557
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,3,802,20,521
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,36,546,140,705
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,88,603,20,716
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,24,660,159,734
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,73,862,139,627
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,60,535,102,578
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,54,515,122,516
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,26,822,45,695
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,39,653,241,605
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,0,680,51,549
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,31,829,100,582
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,76,618,61,626
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,23,699,104,743
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,2,719,38,692
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,16,655,210,572
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,2,809,204,584
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,87,664,248,568
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,12,721,136,574
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,97,971,98,568
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,13,708,211,511
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,18,730,34,514
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,11,854,138,595
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,38,708,40,573
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,35,722,221,652
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,33,827,221,602
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,91,721,152,549
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,31,588,159,709
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,82,565,46,710
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,3,820,69,586
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,50,527,50,568
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,53,522,125,538
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,19,874,167,651
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,63,582,102,740
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,1,503,180,666
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,37,588,118,727
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,5,696,230,680
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,59,975,153,667
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,45,567,183,612
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,77,729,2,507
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,97,642,184,544
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,83,924,170,732
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,27,693,87,622
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,40,621,178,525
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,39,709,65,625
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,5,576,124,662
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,55,818,94,697
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,57,671,131,506
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,17,955,4,624
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,30,512,217,568
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,7,644,143,528
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,26,508,170,699
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,21,794,7,580
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,17,939,7,528
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,37,818,213,628
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,99,851,216,710
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,65,624,108,721
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,94,668,205,688
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,73,744,206,676
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,40,709,174,506
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,92,643,107,503
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,67,965,170,620
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,74,577,126,568
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,32,699,100,701
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,76,883,224,538
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,5,693,96,715
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,77,740,231,702
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,17,556,240,536
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,38,889,150,733
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,85,852,134,554
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,79,736,220,665
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,5,680,237,700
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,1,567,17,586
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,49,572,101,614
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,44,925,135,702
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,66,812,80,545
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,52,655,176,547
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,2,916,30,536
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,48,793,66,619
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,36,912,219,577
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,42,758,224,732
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,76,949,30,727
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,97,558,221,729
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,77,976,155,628
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,91,529,126,659
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,1,954,236,616
336,1,0,1,11,0.2,0.197,0.55,0.2239,18,72,92,970,108,511
337,1,0,1,12,0.24,0.2273,0.48,0.2239,15,89,39,833,133,529
338,1,0,1,13,0.28,0.2576,0.38,0.2985,21,101,41,829,15,748
339,1,0,1,14,0.3,0.2879,0.39,0.2836,26,118,72,615,57,509
340,1,0,1,15,0.32,0.3182,0.36,0.194,21,129,30,948,51,502
341,1,0,1,16,0.34,0.3333,0.34,0.194,33,128,91,686,26,598
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,34,878,107,579
343,1,0,1,18,0.3,0.2879,0.45,0.2537,15,84,82,808,65,679
344,1,0,1,19,0.32,0.303,0.39,0.2537,14,74,15,601,52,611
345,1,0,1,20,0.32,0.303,0.39,0.2537,6,41,60,741,195,568
346,1,0,1,21,0.32,0.303,0.39,0.2239,6,57,79,884,218,675
347,1,0,1,22,0.3,0.3182,0.42,0.1045,0,26,67,912,26,558
348,1,0,1,23,0.3,0.2879,0.45,0.2836,5,44,16,677,69,531
349,1,0,1,0,0.26,0.303,0.56,0,6,39,60,811,183,544
350,1,0,1,1,0.26,0.2727,0.56,0.1343,4,23,43,952,215,748
351,1,0,1,2,0.26,0.2879,0.56,0.0896,3,16,16,768,164,583
352,1,0,1,3,0.22,0.2727,0.69,0,9,15,45,910,124,679
