instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3,feature4,feature5
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,45,620,140,708,196
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,42,545,11,618,498
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,30,631,72,524,242
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,20,628,190,592,388
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,10,900,205,558,260
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,97,626,206,645,164
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,100,708,217,616,173
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,8,513,35,544,392
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,48,684,6,650,213
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,33,645,97,548,395
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,88,519,4,592,116
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,64,762,65,747,40
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,68,622,242,553,13
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,92,524,214,672,132
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,50,896,104,630,117
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,97,662,228,708,377
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,51,941,237,637,29
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,49,990,20,537,324
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,65,547,184,685,323
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,44,544,118,738,367
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,20,748,233,518,432
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,22,684,228,569,35
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,50,867,40,631,13
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,36,533,232,503,346
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,70,761,244,648,107
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,63,753,124,660,433
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,93,750,111,698,373
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,68,562,214,745,119
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,9,883,40,681,432
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,16,930,15,680,438
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,19,758,113,507,344
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,43,744,95,715,240
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,20,696,106,576,80
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,79,977,35,574,382
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,95,796,16,634,88
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,63,573,182,554,34
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,38,670,227,580,72
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,20,592,18,557,128
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,25,796,93,509,464
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,17,543,216,735,397
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,71,914,24,640,447
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,80,932,184,514,67
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,3,772,27,610,209
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,0,705,166,515,163
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,63,789,209,721,179
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,77,946,84,591,180
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,33,942,19,723,15
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,15,719,177,520,457
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,88,804,5,642,254
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,28,737,7,687,445
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,68,894,60,736,52
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,50,573,125,524,334
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,3,663,55,643,370
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,90,954,169,549,405
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,75,573,66,525,249
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,82,786,136,662,139
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,68,831,199,708,46
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,52,948,210,725,289
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,73,655,211,513,368
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,54,510,44,560,304
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,50,937,151,638,247
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,14,667,16,543,347
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,61,550,123,629,81
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,17,894,54,567,195
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,59,864,172,510,435
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,0,994,64,571,231
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,89,858,229,570,5
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,1,918,197,518,211
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,70,717,213,695,248
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,86,597,203,672,488
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,54,536,64,607,217
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,2,684,54,740,235
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,77,961,156,696,198
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,45,685,17,732,398
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,55,805,173,507,260
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,68,967,26,581,284
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,71,579,192,526,176
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,4,958,14,682,47
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,77,664,66,585,96
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,1,647,153,600,38
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,73,835,118,660,271
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,71,899,153,517,235
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,32,741,152,561,392
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,99,653,20,673,383
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,16,615,141,599,152
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,89,516,14,515,261
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,2,878,26,616,27
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,63,609,229,502,216
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,29,696,153,585,74
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,92,918,101,685,243
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,24,766,186,678,386
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,38,950,250,612,340
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,2,875,155,747,103
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,64,824,110,669,495
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,35,528,86,628,360
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,46,571,159,592,125
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,59,732,173,517,446
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,30,851,104,711,132
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,14,850,68,656,149
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,81,519,135,605,182
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,7,812,36,694,498
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,74,908,234,730,349
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,87,986,248,503,283
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,44,960,147,681,147
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,19,957,212,561,205
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,33,810,146,564,18
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,87,694,152,590,500
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,90,617,231,706,432
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,77,740,190,714,429
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,74,928,111,524,82
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,90,843,189,735,127
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,83,934,8,577,276
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,99,822,250,712,155
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,91,793,72,664,281
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,10,983,58,551,78
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,66,971,9,663,398
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,86,990,174,723,122
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,10,641,124,714,37
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,95,927,144,725,66
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,51,965,187,592,480
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,73,761,130,515,353
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,41,552,91,680,290
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,1,689,186,628,142
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,68,943,4,577,86
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,39,929,24,734,302
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,92,658,91,540,121
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,19,948,170,592,389
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,48,664,69,655,1
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,89,594,8,572,374
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,64,669,243,615,220
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,2,620,167,721,22
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,42,982,250,532,142
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,41,861,86,575,119
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,3,639,170,700,381
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,92,545,221,719,280
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,46,892,56,544,466
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,10,832,203,643,238
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,61,612,139,589,346
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,98,597,248,558,492
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,63,941,104,522,421
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,58,782,124,642,283
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,46,707,235,700,201
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,96,680,23,529,323
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,94,792,176,731,371
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,88,959,234,662,180
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,91,919,159,648,293
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,71,616,158,729,317
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,19,910,107,565,366
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,74,548,164,598,246
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,69,806,185,595,366
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,79,597,72,596,484
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,79,973,104,724,24
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,1,838,180,726,102
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,25,794,125,581,444
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,18,838,68,557,281
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,76,549,247,614,459
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,62,542,149,600,301
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,44,639,33,699,23
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,76,918,21,736,249
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,47,656,164,672,134
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,80,601,52,721,118
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,27,854,172,613,36
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,85,620,140,671,20
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,48,922,142,566,381
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,77,547,90,746,335
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,29,821,218,643,42
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,99,552,61,733,372
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,58,861,76,503,368
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,38,681,105,725,297
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,48,721,7,649,471
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,31,959,41,669,160
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,18,814,214,739,103
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,84,522,133,665,176
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,72,506,226,636,482
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,72,981,191,732,141
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,23,716,208,609,420
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,48,961,125,642,96
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,25,805,114,739,95
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,63,558,206,682,230
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,54,691,83,559,305
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,66,897,106,567,242
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,99,944,30,578,262
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,50,995,67,514,364
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,2,898,79,683,135
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,65,619,240,663,360
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,13,835,170,625,120
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,80,719,41,682,88
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,34,510,234,622,487
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,63,677,140,619,372
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,91,872,77,520,113
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,58,675,212,534,11
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,63,861,103,602,370
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,4,553,85,649,375
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,100,772,27,557,143
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,11,849,247,590,424
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,37,847,86,723,240
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,84,733,4,567,100
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,34,518,154,548,106
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,40,591,156,653,62
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,11,690,217,716,196
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,1,515,152,558,124
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,62,921,83,644,73
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,91,899,126,634,17
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,72,721,24,730,468
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,56,896,195,593,298
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,2,511,215,733,173
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,23,868,162,598,135
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,14,967,141,529,46
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,98,926,172,737,311
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,7,979,99,712,38
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,100,637,126,621,200
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,11,787,113,722,462
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,88,894,171,596,390
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,70,896,15,519,385
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,14,518,139,727,455
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,19,555,38,699,136
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,29,816,131,667,164
249,1,0,1,17,0.16,0.1515,0.86,0.2239,6,136,96,986,68,621,423
250,1,0,1,18,0.16,0.1818,0.93,0.1045,1,95,13,751,210,598,57
251,1,0,1,19,0.16,0.2273,0.93,0,0,51,25,957,50,576,245
252,1,0,1,20,0.16,0.1515,0.93,0.194,0,32,18,694,61,566,219
253,1,0,1,21,0.16,0.197,0.86,0.0896,0,20,4,566,200,686,304
254,1,0,1,22,0.16,0.1818,0.93,0.1045,1,29,5,574,77,714,270
255,1,0,1,23,0.16,0.197,0.93,0.0896,1,19,98,924,220,606,443
256,1,0,1,0,0.16,0.197,0.86,0.0896,0,7,45,645,98,541,56
257,1,0,1,1,0.16,0.1818,0.86,0.1045,0,6,55,776,234,560,296
258,1,0,1,2,0.14,0.1515,0.86,0.1343,0,1,21,862,162,652,272
259,1,0,1,5,0.14,0.1515,0.86,0.1642,0,5,63,722,184,615,239
260,1,0,1,6,0.12,0.1515,0.93,0.1343,0,16,15,918,213,636,418
261,1,0,1,7,0.14,0.1515,0.69,0.1343,0,54,8,887,185,526,111
262,1,0,1,8,0.16,0.1667,0.59,0.1642,3,128,3,841,75,587,66
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,39,849,39,665,74
264,1,0,1,10,0.18,0.1818,0.55,0.2239,0,39,97,921,198,610,289
265,1,0,1,11,0.2,0.1818,0.51,0.3881,3,35,84,870,106,673,0
266,1,0,1,12,0.2,0.1515,0.47,0.5821,3,55,39,631,76,569,460
267,1,0,1,13,0.22,0.197,0.44,0.3582,0,49,72,887,144,510,51
268,1,0,1,14,0.2,0.1818,0.47,0.3284,0,44,28,523,37,670,462
269,1,0,1,15,0.2,0.1667,0.47,0.4179,1,49,15,538,141,748,136
270,1,0,1,16,0.22,0.197,0.44,0.3284,5,68,28,709,92,535,92
271,1,0,1,17,0.2,0.1818,0.47,0.3582,0,139,46,881,15,555,13
272,1,0,1,18,0.2,0.1515,0.47,0.5224,2,137,26,908,40,572,429
273,1,0,1,19,0.18,0.1515,0.47,0.4179,1,83,68,680,25,676,153
274,1,0,1,20,0.16,0.1364,0.5,0.3284,2,56,74,553,139,501,432
275,1,0,1,21,0.16,0.1364,0.55,0.3284,0,57,59,676,102,740,189
276,1,0,1,22,0.16,0.1212,0.55,0.4478,1,33,52,908,123,739,182
277,1,0,1,23,0.14,0.1061,0.59,0.4179,1,20,81,547,156,573,86
278,1,0,1,0,0.14,0.1212,0.59,0.2836,1,7,81,806,150,648,384
279,1,0,1,1,0.14,0.1212,0.5,0.2836,0,2,73,944,41,579,489
280,1,0,1,2,0.14,0.1212,0.5,0.3582,0,2,37,593,93,572,466
281,1,0,1,3,0.14,0.1212,0.5,0.3284,0,3,43,555,43,662,205
282,1,0,1,4,0.14,0.1212,0.5,0.2537,0,4,43,938,35,587,59
283,1,0,1,5,0.14,0.1212,0.5,0.2985,0,3,26,642,10,619,421
284,1,0,1,6,0.12,0.1515,0.54,0.1343,0,28,53,525,108,655,330
285,1,0,1,7,0.12,0.1515,0.54,0.1343,0,72,71,804,32,565,157
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,55,735,171,589,57
287,1,0,1,9,0.14,0.1212,0.5,0.3284,2,139,69,698,20,734,316
288,1,0,1,10,0.16,0.1364,0.5,0.3582,2,38,65,674,10,518,492
289,1,0,1,11,0.2,0.1667,0.44,0.4478,4,37,18,960,6,660,491
290,1,0,1,12,0.2,0.1667,0.44,0.4179,3,52,80,554,121,635,487
291,1,0,1,13,0.22,0.197,0.41,0.4478,2,83,3,987,65,672,413
292,1,0,1,14,0.22,0.197,0.41,0.3881,3,42,60,771,64,513,157
293,1,0,1,15,0.24,0.2121,0.38,0.2985,5,60,36,699,134,684,182
294,1,0,1,16,0.24,0.2121,0.38,0.3582,2,78,11,531,47,655,148
295,1,0,1,17,0.2,0.1818,0.4,0.2836,4,162,73,697,45,549,446
296,1,0,1,18,0.2,0.1818,0.4,0.3284,3,144,56,919,77,529,241
297,1,0,1,19,0.16,0.1515,0.47,0.2537,1,99,61,705,56,648,243
298,1,0,1,20,0.16,0.1515,0.47,0.2239,0,64,98,827,180,579,289
299,1,0,1,21,0.14,0.1212,0.46,0.2985,0,40,55,845,168,717,121
300,1,0,1,22,0.14,0.1212,0.46,0.3284,0,30,18,547,89,609,17
301,1,0,1,23,0.12,0.1364,0.5,0.194,1,15,26,862,71,567,337
302,1,0,1,0,0.12,0.1364,0.5,0.194,0,14,68,503,140,746,104
303,1,0,1,1,0.1,0.1212,0.54,0.1642,0,5,7,975,177,603,38
304,1,0,1,2,0.1,0.1212,0.54,0.1343,0,1,100,624,27,554,236
305,1,0,1,3,0.1,0.1364,0.54,0.1045,0,1,15,630,73,721,416
306,1,0,1,5,0.1,0.1364,0.54,0.0896,0,8,26,748,215,691,492
307,1,0,1,6,0.1,0.1818,0.54,0,0,17,28,616,208,601,292
308,1,0,1,7,0.1,0.1212,0.74,0.1642,0,70,46,676,87,744,414
309,1,0,1,8,0.12,0.1667,0.68,0,2,158,3,867,120,572,403
310,1,0,1,9,0.14,0.1515,0.69,0.1343,0,117,54,950,161,736,354
311,1,0,1,10,0.18,0.1818,0.55,0.194,4,44,92,883,206,669,267
312,1,0,1,11,0.18,0.1667,0.51,0.2836,6,53,7,567,44,677,419
313,1,0,1,12,0.2,0.197,0.44,0.2537,2,61,44,928,1,748,349
314,1,0,1,13,0.22,0.197,0.37,0.3881,4,77,62,801,179,589,152
315,1,0,1,14,0.22,0.2121,0.41,0.2836,5,64,33,613,100,732,319
316,1,0,1,15,0.24,0.2424,0.38,0.1642,9,68,42,731,221,723,347
317,1,0,1,16,0.22,0.2424,0.41,0.1045,3,90,51,771,118,726,182
318,1,0,1,17,0.22,0.2273,0.41,0.1642,4,159,45,842,44,578,452
319,1,0,1,18,0.2,0.2576,0.47,0,5,139,68,572,172,552,102
320,1,0,1,19,0.16,0.197,0.59,0.0896,3,92,80,878,48,583,408
321,1,0,1,20,0.18,0.2424,0.59,0,0,68,3,647,67,551,67
322,1,0,1,21,0.16,0.2273,0.69,0,4,52,73,604,185,549,270
323,1,0,1,22,0.16,0.2273,0.69,0,2,36,39,559,158,691,483
324,1,0,1,23,0.18,0.2424,0.55,0,1,27,31,886,91,727,487
325,1,0,1,0,0.18,0.2424,0.55,0,3,28,29,550,249,740,18
326,1,0,1,1,0.16,0.197,0.59,0.0896,2,20,75,723,182,508,175
327,1,0,1,2,0.16,0.197,0.59,0.0896,0,12,92,628,42,664,78
328,1,0,1,3,0.16,0.2273,0.59,0,1,8,8,789,203,659,370
329,1,0,1,4,0.16,0.2273,0.59,0,0,5,62,813,227,618,347
330,1,0,1,5,0.16,0.2273,0.59,0,0,1,56,828,118,537,15
331,1,0,1,6,0.14,0.1667,0.63,0.1045,1,3,29,556,52,556,265
332,1,0,1,7,0.14,0.2121,0.63,0,1,10,93,806,138,644,161
333,1,0,1,8,0.14,0.1515,0.63,0.1343,1,23,31,749,54,549,9
334,1,0,1,9,0.16,0.1818,0.64,0.1343,2,33,55,781,191,602,300
335,1,0,1,10,0.18,0.197,0.59,0.1642,2,59,6,510,154,674,259
