instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_4,feature_y_4,feature_y_4,feature_y_4
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,11,8000.0,102109.07002447755,0.06564512751032302
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,0,148877.0,1.0,0.9978399678225618
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,89,343000.0,0.5376143475480764,0.610518630276102
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,14,804357.0,0.5023592408312615,0.7806682917959753
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,98,421875.0,2.3440166611427986,0.9986131186347414
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,67,205379.0,6.921372193247372,0.8668913779238857
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,50,405224.0,1.3557021544363344,0.8187254508480504
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,84,438976.0,0.5769706814181332,0.3072314733386139
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,79,274625.0,1.798925688187395,0.894535123924783
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,58,148877.0,0.5017882105819239,0.9978399678225618
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,70,27000.0,0.5637325966004665,0.40598946176217077
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,38,10648.0,0.7713855584154635,0.4153243610054981
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,28,29791.0,0.7868403851802712,0.7497355341511844
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,6,729.0,1.3877622922787505,0.9886955804866999
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,64,512.0,0.5208262701161901,0.996833390848202
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,86,125.0,13.064798934155936,0.7877145121442345
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,40,8.0,0.573028742574676,0.14550003380861354
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,95,1.0,0.5940846816900167,0.5403023058681398
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,28,27.0,0.7868403851802712,0.2921388087338362
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,45,27000.0,0.5402766739296717,0.40598946176217077
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,28,262144.0,0.7868403851802712,0.9964567265431309
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,46,3652264.0,0.5258208681509198,0.680306108693784
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,7,681472.0,0.6035051827052901,0.6500273073821843
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,95,85184.0,0.5940846816900167,0.9597172785084751
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,54,132651.0,2.266489527055483,0.924225198966451
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,80,226981.0,163.63007223971312,0.5972100308691869
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,80,226981.0,163.63007223971312,0.5972100308691869
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,67,456533.0,6.921372193247372,0.9947179590299335
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,38,373248.0,0.7713855584154635,0.08909767185442889
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,99,438976.0,1260.7704250424647,0.3072314733386139
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,71,3869893.0,0.5125433048899948,0.8083268350251855
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,100,3869893.0,2.025790915867646,0.8083268350251855
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,10,1331000.0,2.193083986739962,0.12997395763495997
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,81,140608.0,2.7018847930632726,0.9657710534457514
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,100,140608.0,2.025790915867646,0.9657710534457514
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,27,8000.0,0.5111492047520422,0.06564512751032302
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,64,1728.0,0.5208262701161901,0.9923168327201398
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,35,125.0,1.7488102347630208,0.7877145121442345
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,88,8.0,0.9658118980490871,0.14550003380861354
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,50,1.0,1.3557021544363344,0.5403023058681398
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,75,8.0,1.633404121532299,0.14550003380861354
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,76,64.0,0.6385257158828442,0.39185723042955
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,92,46656.0,4.534449634384539,0.9785486907389197
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,28,830584.0,0.7868403851802712,0.9524963446376412
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,35,5735339.0,1.7488102347630208,0.9467797740366186
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,4,1000000.0,4.111884294479769,0.9367521275331447
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,48,74088.0,4.315081398019611,0.983924226468455
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,17,185193.0,25.90505251316606,0.7348597471800759
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,13,474552.0,0.7041425227235925,0.28835490585704365
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,38,912673.0,0.7713855584154635,0.8744126871967961
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,35,250047.0,1.7488102347630208,0.21166754060601453
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,59,274625.0,0.6109713317819904,0.894535123924783
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,3,571787.0,0.8763320184878719,0.14123908682440878
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,20,9528128.0,0.5227541141700891,0.48388694787438213
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,70,6028568.0,0.5637325966004665,0.7976641834043365
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,3,1404928.0,0.8763320184878719,0.088550854297912
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,31,157464.0,1.6779583343684343,0.4598085148240586
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,4,110592.0,4.111884294479769,0.08451108251254075
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,64,42875.0,0.5208262701161901,0.11401167733032609
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,48,1331.0,4.315081398019611,0.5102807461770535
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,90,216.0,0.5279840346175494,0.7179850839697136
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,53,216.0,0.7163707881255232,0.7179850839697136
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,25,8.0,1.1525407907094694,0.14550003380861354
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,84,8.0,0.5769706814181332,0.14550003380861354
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,71,27.0,0.5125433048899948,0.2921388087338362
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,77,35937.0,0.5001199891426975,0.9487196478676775
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,76,681472.0,0.6385257158828442,0.6500273073821843
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,17,7414875.0,25.90505251316606,0.9985205179705156
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,15,1520875.0,0.6059548980890475,0.15069075745855756
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,24,185193.0,10.590792759495987,0.7348597471800759
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,97,97336.0,0.7248437158702044,0.9993940599134129
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,15,493039.0,0.6059548980890475,0.8306410854894761
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,5,357911.0,24.34527915938213,0.33777391432627846
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,50,238328.0,1.3557021544363344,0.878485497608328
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,29,238328.0,2.9729510585814833,0.878485497608328
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,34,704969.0,0.6539868700870936,0.3154429795766605
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,100,6859000.0,2.025790915867646,0.029321371195559005
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,4,4826809.0,4.111884294479769,0.9972942925625753
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,77,2299968.0,0.5001199891426975,0.16358673587781578
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,3,704969.0,0.8763320184878719,0.3154429795766605
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,16,79507.0,1.4043036899381962,0.9102631815448695
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,37,74088.0,2.8053491651647224,0.983924226468455
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,8,6859.0,0.5026746699330502,0.6190709191736287
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,94,1331.0,1.3249455192268595,0.5102807461770535
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,21,64.0,0.5444678790179037,0.39185723042955
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,21,8.0,0.5444678790179037,0.14550003380861354
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,97,1.0,0.7248437158702044,0.5403023058681398
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,47,64.0,0.8900177298266997,0.39185723042955
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,33,46656.0,0.500022035944306,0.9785486907389197
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,36,857375.0,121.63753475026189,0.9814938312063979
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,16,10503459.0,1.4043036899381962,0.8745240759314311
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,21,1815848.0,0.5444678790179037,0.39655079762680157
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,83,91125.0,0.5080359962611123,0.9993335830491854
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,4,205379.0,4.111884294479769,0.8668913779238857
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,19,592704.0,0.869658074441806,0.13399521291272173
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,12,300763.0,2.15783677484981,0.8706451185026877
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,20,343000.0,0.5227541141700891,0.610518630276102
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,9,238328.0,0.7081558739235672,0.878485497608328
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,90,636056.0,0.5279840346175494,0.9628520276238026
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,15,5088448.0,0.6059548980890475,0.5782594610266694
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,74,4330747.0,67.32311401195065,0.26284501920202746
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,76,1404928.0,0.6385257158828442,0.088550854297912
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,5,328509.0,24.34527915938213,0.48834807665143615
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,22,110592.0,1.0089303546212294,0.08451108251254075
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,64,140608.0,0.5208262701161901,0.9657710534457514
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,34,12167.0,0.6539868700870936,0.9255361136380498
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,54,4913.0,2.266489527055483,0.9000508174929343
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,39,343.0,0.5092180208714154,0.8438377837054513
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,97,1.0,0.7248437158702044,0.5403023058681398
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,33,1.0,0.500022035944306,0.5403023058681398
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,50,125.0,1.3557021544363344,0.7877145121442345
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,83,39304.0,0.5080359962611123,0.8935123623661174
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,16,592704.0,1.4043036899381962,0.13399521291272173
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,54,9261000.0,2.266489527055483,0.8993339484284346
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,34,2406104.0,0.6539868700870936,0.5630868711673894
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,98,250047.0,2.3440166611427986,0.21166754060601453
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,13,300763.0,0.7041425227235925,0.8706451185026877
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,8,205379.0,0.5026746699330502,0.8668913779238857
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,18,389017.0,4.015858573649374,0.9908866931049745
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,52,125000.0,0.503365605112174,0.6748066245382345
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,88,373248.0,0.9658118980490871,0.08909767185442889
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,14,658503.0,0.5023592408312615,0.9988925837752082
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,98,6539203.0,2.3440166611427986,0.9931284058776711
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,55,1860867.0,4084.5228050458813,0.4173093082358627
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,86,857375.0,13.064798934155936,0.9814938312063979
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,69,132651.0,1.129668825806919,0.924225198966451
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,72,59319.0,0.7975605094780727,0.8512229700846954
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,4,46656.0,4.111884294479769,0.9785486907389197
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,53,3375.0,0.7163707881255232,0.5982426949828721
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,4,15625.0,4.111884294479769,0.2849338062760266
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,79,4096.0,1.798925688187395,0.803990613485849
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,88,4096.0,0.9658118980490871,0.803990613485849
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,71,343.0,0.5125433048899948,0.8438377837054513
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,52,1.0,0.503365605112174,0.5403023058681398
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,54,125.0,2.266489527055483,0.7877145121442345
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,78,8.0,0.6605113804923478,0.14550003380861354
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,8,729.0,0.5026746699330502,0.9886955804866999
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,76,3375.0,0.6385257158828442,0.5982426949828721
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,3,8000.0,0.8763320184878719,0.06564512751032302
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,89,226981.0,0.5376143475480764,0.5972100308691869
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,80,238328.0,163.63007223971312,0.878485497608328
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,85,941192.0,1.213703616753761,0.6335358686373416
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,96,1061208.0,0.5041370124924979,0.99997383432357
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,92,857375.0,4.534449634384539,0.9814938312063979
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,72,405224.0,0.7975605094780727,0.8187254508480504
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,56,438976.0,2.09008693583188,0.3072314733386139
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,99,328509.0,1260.7704250424647,0.48834807665143615
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,43,166375.0,5.944410581534946,0.8223078391293215
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,26,27000.0,0.5673570710394846,0.40598946176217077
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,83,21952.0,0.5080359962611123,0.1210355554669203
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,4,50653.0,4.111884294479769,0.4521284271007949
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,89,39304.0,0.5376143475480764,0.8935123623661174
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,55,10648.0,4084.5228050458813,0.4153243610054981
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,59,15625.0,0.6109713317819904,0.2849338062760266
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,77,1728.0,0.5001199891426975,0.9923168327201398
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,16,1331.0,1.4043036899381962,0.5102807461770535
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,46,64.0,0.5258208681509198,0.39185723042955
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,34,1.0,0.6539868700870936,0.5403023058681398
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,39,1.0,0.5092180208714154,0.5403023058681398
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,49,1.0,21.622861843277043,0.5403023058681398
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,4,216.0,4.111884294479769,0.7179850839697136
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,63,1000.0,0.8566369271513424,0.5623790762907029
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,51,6859.0,0.5987202322070889,0.6190709191736287
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,21,117649.0,0.5444678790179037,0.876003261987607
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,9,117649.0,0.7081558739235672,0.876003261987607
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,92,571787.0,4.534449634384539,0.14123908682440878
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,74,421875.0,67.32311401195065,0.9986131186347414
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,94,373248.0,1.3249455192268595,0.08909767185442889
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,21,551368.0,0.5444678790179037,0.9358048728143991
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,24,778688.0,10.590792759495987,0.961465970943261
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,74,238328.0,67.32311401195065,0.878485497608328
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,47,110592.0,0.8900177298266997,0.08451108251254075
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,9,68921.0,0.7081558739235672,0.738222025394855
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,30,54872.0,83.55352537043731,0.5875954370147703
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,4,8000.0,4.111884294479769,0.06564512751032302
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,68,3375.0,9.796975387185967,0.5982426949828721
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,59,216.0,0.6109713317819904,0.7179850839697136
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,56,125.0,2.09008693583188,0.7877145121442345
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,2,1.0,0.5237528663423374,0.5403023058681398
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,49,27.0,21.622861843277043,0.2921388087338362
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,23,1.0,6.50281329350808,0.5403023058681398
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,14,27.0,0.5023592408312615,0.2921388087338362
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,13,27.0,0.7041425227235925,0.2921388087338362
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,1,29791.0,0.5430441251857795,0.7497355341511844
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,51,456533.0,0.5987202322070889,0.9947179590299335
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,36,6644672.0,121.63753475026189,0.7863827988725233
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,30,830584.0,83.55352537043731,0.9524963446376412
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,12,29791.0,2.15783677484981,0.7497355341511844
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,11,27000.0,102109.07002447755,0.40598946176217077
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,61,140608.0,29.513995986914356,0.9657710534457514
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,69,157464.0,1.129668825806919,0.4598085148240586
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,83,103823.0,0.5080359962611123,0.937988120773989
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,71,91125.0,0.5125433048899948,0.9993335830491854
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,67,405224.0,6.921372193247372,0.8187254508480504
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,19,5639752.0,0.869658074441806,0.8396242732213816
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,30,3723875.0,83.55352537043731,0.7554616097652932
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,36,857375.0,121.63753475026189,0.9814938312063979
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,41,405224.0,1.1885273858987428,0.8187254508480504
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,30,54872.0,83.55352537043731,0.5875954370147703
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,94,13824.0,1.3249455192268595,0.5467452846558348
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,40,5832.0,0.573028742574676,0.35859409564894423
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,89,1728.0,0.5376143475480764,0.9923168327201398
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,22,27.0,1.0089303546212294,0.2921388087338362
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,47,27.0,0.8900177298266997,0.2921388087338362
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,85,216.0,1.213703616753761,0.7179850839697136
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,51,19683.0,0.5987202322070889,0.6042076152123113
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,20,970299.0,0.5227541141700891,0.7380522953874156
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,49,10218313.0,21.622861843277043,0.9886421392408016
241,1,0,1,9,0.18,0.197,0.51,0.1642,3,130,70,2197000.0,0.5637325966004665,0.8442366556901854
242,1,0,1,10,0.2,0.2121,0.51,0.1642,3,54,6,157464.0,1.3877622922787505,0.4598085148240586
243,1,0,1,11,0.2,0.2121,0.47,0.1343,4,35,83,42875.0,0.5080359962611123,0.11401167733032609
244,1,0,1,12,0.2,0.2273,0.51,0.1045,2,57,84,185193.0,0.5769706814181332,0.7348597471800759
245,1,0,1,13,0.2,0.2273,0.59,0.0896,6,52,42,140608.0,11.979139227322584,0.9657710534457514
246,1,0,1,14,0.2,0.2273,0.59,0.0896,3,63,53,250047.0,0.7163707881255232,0.21166754060601453
247,1,0,1,15,0.16,0.197,0.8,0.0896,2,47,16,103823.0,1.4043036899381962,0.937988120773989
248,1,0,1,16,0.16,0.1515,0.86,0.2239,4,76,33,438976.0,0.500022035944306,0.3072314733386139
