fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,feature_y_2,feature_y_2
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6,1012,0,216.0
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,1013,99,216.0
7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6,1014,60,216.0
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7,1015,99,343.0
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7,1016,55,343.0
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,1017,7,125.0
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5,1018,94,125.0
6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,1019,67,125.0
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7,1020,87,343.0
8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6,1021,65,216.0
7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,5,1022,45,125.0
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,1023,67,125.0
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5,1024,92,125.0
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,1025,93,216.0
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,6,1026,4,216.0
6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7,1027,18,343.0
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,1028,97,512.0
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,1029,89,216.0
7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6,1030,78,216.0
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,1031,35,125.0
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,1032,5,216.0
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,1033,23,216.0
8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,6,1034,80,216.0
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,1035,54,216.0
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5,1036,93,125.0
7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5,1037,65,125.0
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6,1038,8,216.0
4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7,1039,21,343.0
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6,1040,7,216.0
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,1041,36,125.0
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,1042,35,216.0
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,1043,61,216.0
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,1044,22,216.0
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7,1045,21,343.0
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1046,8,343.0
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,5,1047,74,125.0
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,1048,40,125.0
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7,1049,49,343.0
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,1050,6,216.0
6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,1051,8,216.0
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6,1052,88,216.0
6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5,1053,80,125.0
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,1054,74,125.0
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6,1055,72,216.0
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6,1056,40,216.0
6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4,1057,41,64.0
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6,1058,56,216.0
8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7,1059,45,343.0
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5,1060,84,125.0
6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4,1061,26,64.0
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5,1062,74,125.0
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6,1063,11,216.0
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6,1064,43,216.0
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6,1065,65,216.0
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7,1066,5,343.0
7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6,1067,47,216.0
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,6,1068,48,216.0
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5,1069,45,125.0
6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5,1070,81,125.0
8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8,1071,63,512.0
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,1072,76,216.0
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,1073,77,216.0
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,1074,64,216.0
7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6,1075,95,216.0
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,1076,7,343.0
7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5,1077,71,125.0
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,1078,25,216.0
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,1079,15,216.0
6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,1080,28,216.0
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6,1081,26,216.0
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5,1082,22,125.0
6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6,1083,48,216.0
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,1084,99,216.0
9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6,1085,94,216.0
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7,1086,25,343.0
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6,1087,23,216.0
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,1088,88,216.0
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,1089,8,125.0
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7,1090,91,343.0
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7,1091,41,343.0
6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4,1092,19,64.0
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,1093,56,216.0
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,1094,49,216.0
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,1095,97,125.0
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5,1096,43,125.0
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,1097,78,216.0
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,1098,68,216.0
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6,1099,53,216.0
6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6,1100,49,216.0
6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6,1101,72,216.0
7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6,1102,35,216.0
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,1103,38,216.0
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6,1104,34,216.0
7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7,1105,12,343.0
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,1106,51,216.0
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,1107,39,343.0
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6,1108,70,216.0
7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,1109,63,216.0
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7,1110,93,343.0
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6,1111,24,216.0
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,1112,13,216.0
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,1113,90,125.0
7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7,1114,41,343.0
6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,5,1115,40,125.0
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,1116,58,216.0
5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,1117,86,216.0
5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6,1118,59,216.0
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,1119,39,343.0
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,1120,24,125.0
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5,1121,82,125.0
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,1122,84,27.0
6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,6,1123,68,216.0
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3,1124,50,27.0
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6,1125,48,216.0
8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,6,1126,58,216.0
5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,6,1127,8,216.0
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,1128,52,216.0
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6,1129,44,216.0
6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,6,1130,54,216.0
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5,1131,69,125.0
8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6,1132,56,216.0
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,1133,14,216.0
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,1134,97,125.0
6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,5,1135,90,125.0
6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6,1136,29,216.0
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,1137,74,216.0
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6,1138,9,216.0
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,1139,60,216.0
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7,1140,59,343.0
7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7,1141,86,343.0
7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8,1142,4,512.0
6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5,1143,77,125.0
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5,1144,26,125.0
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6,1145,49,216.0
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,1146,94,512.0
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5,1147,72,125.0
7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4,1148,26,64.0
6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,5,1149,15,125.0
6.7,0.53,0.29,4.3,0.069,20,114,0.99014,3.22,0.59,13.4,6,1150,26,216.0
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7,1151,57,343.0
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,1152,62,216.0
7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4,1153,99,64.0
6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5,1154,62,125.0
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6,1155,55,216.0
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8,1156,54,512.0
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,1157,67,125.0
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,1158,34,216.0
7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5,1159,35,125.0
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7,1160,45,343.0
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5,1161,57,125.0
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6,1162,84,216.0
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5,1163,66,125.0
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,1164,92,216.0
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,1165,47,216.0
6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6,1166,73,216.0
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,1167,86,216.0
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7,1168,87,343.0
6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6,1169,40,216.0
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7,1170,44,343.0
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6,1171,27,216.0
6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5,1172,39,125.0
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,1173,50,216.0
6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5,1174,5,125.0
6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5,1175,32,125.0
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,1176,47,125.0
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,1177,81,216.0
5.8,0.27,0.22,12.7,0.058,42,206,0.9946,3.32,0.38,12.3,6,1178,76,216.0
7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5,1179,98,125.0
6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,7,1180,96,343.0
7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7,1181,51,343.0
8,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,7,1182,8,343.0
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6,1183,49,216.0
9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4,1184,93,64.0
7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5,1185,74,125.0
7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,6,1186,18,216.0
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,1187,22,125.0
7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,5,1188,41,125.0
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,1189,28,216.0
7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6,1190,68,216.0
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7,1191,84,343.0
6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,1192,75,125.0
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5,1193,32,125.0
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,1194,11,125.0
7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6,1195,15,216.0
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,1196,32,125.0
7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5,1197,61,125.0
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6,1198,11,216.0
7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4,5,1199,35,125.0
5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7,1200,49,343.0
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6,1201,22,216.0
6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5,1202,24,125.0
6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5,1203,17,125.0
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6,1204,6,216.0
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7,1205,46,343.0
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6,1206,21,216.0
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,1207,32,216.0
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6,1208,17,216.0
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,1209,18,216.0
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6,1210,46,216.0
7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,4,1211,45,64.0
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7,1212,100,343.0
7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6,1213,87,216.0
5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6,1214,31,216.0
6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,3,1215,12,27.0
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5,1216,39,125.0
7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6,1217,39,216.0
9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5,1218,52,125.0
9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5,1219,79,125.0
7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,1220,29,125.0
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,1221,32,216.0
6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,6,1222,26,216.0
5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,6,1223,47,216.0
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5,1224,59,125.0
5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,7,1225,14,343.0
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,1226,10,512.0
6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6,1227,28,216.0
7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,1228,8,343.0
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,1229,90,216.0
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7,1230,80,343.0
8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,5,1231,70,125.0
6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5,1232,59,125.0
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5,1233,63,125.0
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6,1234,77,216.0
6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6,1235,52,216.0
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,1236,15,64.0
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,1237,36,343.0
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6,1238,52,216.0
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,1239,80,216.0
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,1240,56,216.0
6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5,1241,92,125.0
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,1242,25,216.0
7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,5,1243,17,125.0
9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,5,1244,51,125.0
6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5,1245,82,125.0
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6,1246,100,216.0
7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5,1247,2,125.0
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7,1248,13,343.0
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7,1249,0,343.0
7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6,1250,73,216.0
