fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,feature_y_5,feature_y_5,feature_y_5,feature_y_5,feature_y_5
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,1043,26,216.0,1.0088383111176085,0.7179850839697136,266
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,1044,79,216.0,0.5444531966539002,0.7179850839697136,427
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7,1045,86,343.0,0.5227642002396438,0.8438377837054513,68
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1046,53,343.0,0.8697257026068876,0.8438377837054513,93
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,5,1047,79,125.0,4.016821777369417,0.7877145121442345,205
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,1048,95,125.0,25.888361778729184,0.7877145121442345,95
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7,1049,77,343.0,1.4041329191824519,0.8438377837054513,261
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,1050,54,216.0,0.6059296744260534,0.7179850839697136,177
6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,1051,21,216.0,0.5023623625063406,0.7179850839697136,453
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6,1052,49,216.0,0.7041832142258576,0.7179850839697136,390
6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5,1053,44,125.0,2.158192153007029,0.7877145121442345,419
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,1054,49,125.0,106413.44337371562,0.7877145121442345,180
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6,1055,76,216.0,2.192719083933577,0.7179850839697136,62
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6,1056,1,216.0,0.7081145566934157,0.7179850839697136,133
6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4,1057,41,64.0,0.5026713461864717,0.39185723042955,266
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6,1058,26,216.0,0.6035300162811367,0.7179850839697136,329
8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7,1059,30,343.0,1.3879295369444997,0.8438377837054513,269
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5,1060,64,125.0,24.360490345010714,0.7877145121442345,342
6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4,1061,55,64.0,4.1108850604662965,0.39185723042955,267
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5,1062,70,125.0,0.8762632705591601,0.7877145121442345,159
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6,1063,38,216.0,0.5237425440731716,0.7179850839697136,362
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6,1064,21,216.0,0.5430585355976357,0.7179850839697136,308
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6,1065,16,216.0,1.000090441238847,0.7179850839697136,415
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7,1066,4,343.0,6.309938203874456,0.8438377837054513,397
7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6,1067,17,216.0,11.020472582395389,0.7179850839697136,6
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,6,1068,61,216.0,1.1641856620695308,0.7179850839697136,16
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5,1069,34,125.0,0.5691967985270512,0.7877145121442345,91
6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5,1070,33,125.0,0.5104909415202439,0.7877145121442345,333
8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8,1071,14,512.0,0.7816599648233853,0.996833390848202,109
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,1072,86,216.0,2.915917538341367,0.7179850839697136,404
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,1073,97,216.0,93.85339621489553,0.7179850839697136,334
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,1074,20,216.0,1.7007846541773055,0.7179850839697136,220
7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6,1075,23,216.0,0.6476277121622995,0.7179850839697136,483
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,1076,98,343.0,0.5000025494549337,0.8438377837054513,273
7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5,1077,59,125.0,0.6508312466914208,0.7877145121442345,14
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,1078,14,216.0,1.7248787316480794,0.7179850839697136,415
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,1079,90,216.0,106.60659409836113,0.7179850839697136,269
6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,1080,48,216.0,2.8589328480313627,0.7179850839697136,328
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6,1081,23,216.0,0.776403591992178,0.7179850839697136,152
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5,1082,26,125.0,0.5098340950790201,0.7877145121442345,109
6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6,1083,12,216.0,0.571125865177212,0.7179850839697136,263
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,1084,87,216.0,1.1764243902351184,0.7179850839697136,85
9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6,1085,2,216.0,11.491895199527407,0.7179850839697136,357
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7,1086,8,343.0,6.1201796025769335,0.8438377837054513,197
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6,1087,77,216.0,0.9911375073227945,0.7179850839697136,357
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,1088,56,216.0,0.5416330036415266,0.7179850839697136,157
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,1089,61,125.0,0.5247856254857969,0.7877145121442345,197
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7,1090,74,343.0,0.8831877260174271,0.8438377837054513,371
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7,1091,80,343.0,4.212600693585998,0.8438377837054513,46
6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4,1092,44,64.0,22.90924790580516,0.39185723042955,303
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,1093,7,216.0,1.3714011167106186,0.7179850839697136,95
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,1094,19,216.0,0.601069351436412,0.7179850839697136,38
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,1095,43,125.0,0.5030136375433062,0.7877145121442345,260
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5,1096,58,125.0,0.7122735817520826,0.7877145121442345,429
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,1097,85,216.0,2.2296649446778805,0.7179850839697136,126
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,1098,71,216.0,11192.613443960523,0.7179850839697136,404
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6,1099,16,216.0,2.1231690500180926,0.7179850839697136,103
6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6,1100,66,216.0,0.7001504805578249,0.7179850839697136,256
6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6,1101,67,216.0,0.5020608539873359,0.7179850839697136,216
7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6,1102,99,216.0,0.6084690697244408,0.7179850839697136,223
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,1103,88,216.0,1.4213730830356524,0.7179850839697136,419
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6,1104,55,216.0,27.639194609826482,0.7179850839697136,192
7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7,1105,11,343.0,3.9223814707587064,0.8438377837054513,349
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,1106,69,216.0,0.8630272559028899,0.7179850839697136,463
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,1107,90,343.0,0.521768789751732,0.8438377837054513,137
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6,1108,100,216.0,0.5459336155131331,0.7179850839697136,130
7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,1109,45,216.0,1.0181146459334087,0.7179850839697136,372
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7,1110,24,343.0,6.709204252976736,0.8438377837054513,497
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6,1111,56,216.0,10.178040470875315,0.7179850839697136,16
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,1112,0,216.0,1.140879681929972,0.7179850839697136,244
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,1113,56,125.0,0.565510888280696,0.7877145121442345,196
7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7,1114,39,343.0,0.5118426399882114,0.8438377837054513,215
6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,5,1115,100,125.0,0.7922124955237818,0.7877145121442345,298
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,1116,33,216.0,3.033026213383122,0.7179850839697136,419
5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,1117,7,216.0,74.69848842774897,0.7179850839697136,208
5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6,1118,47,216.0,1.6551964461695419,0.7179850839697136,172
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,1119,99,343.0,0.6414927614183809,0.8438377837054513,411
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,1120,22,125.0,0.5000617155466083,0.7877145121442345,150
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5,1121,79,125.0,0.657257438993091,0.7877145121442345,445
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,1122,97,27.0,1.7738237470269103,0.2921388087338362,385
6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,6,1123,74,216.0,140.51697020318912,0.7179850839697136,415
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3,1124,61,27.0,2.752305749168243,0.2921388087338362,389
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6,1125,58,216.0,0.7663441574220841,0.7179850839697136,145
8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,6,1126,88,216.0,0.5086104941555899,0.7179850839697136,372
5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,6,1127,8,216.0,0.5750035206718005,0.7179850839697136,304
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,1128,42,216.0,1.2011216418803519,0.7179850839697136,96
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6,1129,80,216.0,12.509612273978835,0.7179850839697136,324
6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,6,1130,34,216.0,5.772932496320534,0.7179850839697136,382
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5,1131,79,125.0,0.9740497986258718,0.7877145121442345,224
8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6,1132,59,216.0,0.5389188901996564,0.7179850839697136,338
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,1133,65,216.0,0.5269015171777325,0.7179850839697136,63
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,1134,45,125.0,0.8971064010805205,0.7877145121442345,434
6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,5,1135,58,125.0,4.423759953228356,0.7877145121442345,133
6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6,1136,17,216.0,20.41929115162743,0.7179850839697136,376
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,1137,0,216.0,1.3400081646610802,0.7179850839697136,361
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6,1138,91,216.0,0.5963603423598061,0.7179850839697136,120
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,1139,74,216.0,0.5037451620386146,0.7179850839697136,39
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7,1140,44,343.0,0.7206177427386978,0.8438377837054513,307
7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7,1141,85,343.0,2.3051150900153496,0.8438377837054513,431
7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8,1142,25,512.0,2071.909028624337,0.996833390848202,311
6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5,1143,96,125.0,2.05719360335772,0.7877145121442345,170
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5,1144,56,125.0,0.692427896162048,0.7877145121442345,281
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6,1145,66,216.0,0.5015300094460581,0.7179850839697136,359
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,1146,32,512.0,0.6135655338063161,0.996833390848202,108
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5,1147,96,125.0,1.4562710847583964,0.7877145121442345,201
7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4,1148,60,64.0,31.632580058549546,0.39185723042955,74
6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,5,1149,59,125.0,3.747126241806669,0.7877145121442345,161
6.7,0.53,0.29,4.3,0.069,20,114,0.99014,3.22,0.59,13.4,6,1150,5,216.0,0.8502211055185235,0.7179850839697136,33
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7,1151,57,343.0,0.51988747868837,0.8438377837054513,245
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,1152,64,216.0,0.5489178250017197,0.7179850839697136,286
7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4,1153,0,64.0,1.036794465963575,0.39185723042955,46
6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5,1154,94,125.0,7.148756867232825,0.7877145121442345,120
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6,1155,85,216.0,9.430060289956147,0.7179850839697136,253
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8,1156,21,512.0,1.1184401094996603,0.996833390848202,17
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,1157,16,125.0,0.5619484314777496,0.7877145121442345,110
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,1158,99,216.0,0.5132802457380401,0.7179850839697136,415
7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5,1159,13,125.0,0.8031068585314484,0.7877145121442345,34
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7,1160,59,343.0,3.15783899704461,0.8438377837054513,93
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5,1161,90,125.0,60.8695502610647,0.7877145121442345,123
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6,1162,46,216.0,1.6116660733731296,0.7179850839697136,278
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5,1163,4,125.0,0.6355436854761879,0.7877145121442345,48
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,1164,62,216.0,0.5001992721430188,0.7179850839697136,144
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,1165,52,216.0,0.6638838175536694,0.7179850839697136,202
6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6,1166,51,216.0,1.8251720681136208,0.7179850839697136,40
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,1167,58,216.0,193.64735950731486,0.7179850839697136,206
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7,1168,2,343.0,2.6519423005983414,0.8438377837054513,71
6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6,1169,65,216.0,0.7565967500293007,0.7179850839697136,347
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7,1170,51,343.0,0.5074707122700763,0.8438377837054513,35
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6,1171,65,216.0,0.5790118344922135,0.7179850839697136,329
6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5,1172,38,125.0,1.2267991119059267,0.7877145121442345,278
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,1173,73,216.0,13.670999756149083,0.7179850839697136,211
6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5,1174,54,125.0,5.455252352809151,0.7877145121442345,88
6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5,1175,29,125.0,0.9575489604735145,0.7877145121442345,222
