instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,feature0,feature1,feature2
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,1.59375,0.7421541968137826,0.6702291758433747
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,1.625,0.16299078079570548,0.9866275920404853
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,1.65625,0.9182827862121189,0.39592515018183416
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,1.6875,0.8293098328631502,0.5587890488516163
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,1.71875,0.022126756261955736,0.9997551733586199
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,1.75,0.853220107722584,0.5215510020869119
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,1.78125,0.8998668269691937,0.43616475524782494
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,1.8125,0.11918013544881928,0.9928726480845371
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,1.84375,0.7710802229758452,0.6367380071391379
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,1.875,0.9524129804151563,0.3048106211022167
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,1.90625,0.25810163593826746,0.9661177700083929
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,1.9375,0.6735071623235862,0.7391806966492228
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,1.96875,0.9858965815825497,0.16735570030280691
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2.0,0.39185723042955,0.9200260381967907
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,2.03125,0.562453851238172,0.8268286794901034
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2.0625,0.99964745596635,0.026551154023966794
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2.09375,0.5177697997895051,0.8555199789753223
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2.125,0.4401430224960407,0.8979276806892913
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2.15625,0.9933903797222716,0.11478481378318722
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2.1875,0.6333192030862999,0.7738906815578891
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2.21875,0.3090227281660707,0.9510546532543747
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2.25,0.9672505882738824,0.25382336276203626
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2.28125,0.7361927182273159,0.6767719568873076
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2.3125,0.17171734183077755,0.9851462604682474
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2.34375,0.9217512697247493,0.38778163540943045
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2.375,0.8243313311075577,0.5661076368981803
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2.40625,0.03097503173121646,0.9995201585807313
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2.4375,0.8578030932449878,0.5139784559875352
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2.46875,0.8959709467909631,0.4441126687075084
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2.5,0.11038724383904756,0.9938886539233752
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2.53125,0.7766859820216312,0.6298879942744539
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2.5625,0.9496776978825432,0.31322878243308516
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2.59375,0.24954011797333814,0.9683644611001854
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2.625,0.6800234955873388,0.7331903200732922
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2.65625,0.9843766433940419,0.1760756199485871
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2.6875,0.38369844494974187,0.9234584470040598
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2.71875,0.569750334265312,0.8218178366308225
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2.75,0.9993732836951247,0.03539830273366068
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2.78125,0.5101770449416689,0.8600694058124532
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,2.8125,0.4480736161291701,0.8939966636005579
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2.84375,0.9943674609282015,0.10598751175115685
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2.875,0.626444447910339,0.7794660696158047
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,2.90625,0.31742870151970165,0.9482821412699473
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2.9375,0.9694593666699876,0.24525198546765434
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2.96875,0.7301735609948197,0.683261714736121
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,3.0,0.18043044929108396,0.9835877454343449
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,3.03125,0.9251475365964139,0.3796077390275217
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,3.0625,0.8192882452914593,0.5733818719904229
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,3.09375,0.0398208803931389,0.9992068341863537
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,3.125,0.8623188722876839,0.5063656411097588
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,3.15625,0.8920048697881602,0.45202578717835057
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,3.1875,0.10158570369662134,0.9948267913584063
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,3.21875,0.7822308898871159,0.6229886314423488
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,3.25,0.9468680107512125,0.32162240316253093
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,3.28125,0.24095904923620143,0.9705352835374847
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,3.3125,0.6864865509069841,0.7271425000808526
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,3.34375,0.9827795820412206,0.18478174456066745
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,3.375,0.3755095977670121,0.926818505417785
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,3.40625,0.577002178942952,0.8167426066363169
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,3.4375,0.999020813314648,0.044242678085070965
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,3.46875,0.5025443191453852,0.8645514486106083
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,3.5,0.4559691044442761,0.8899956043668333
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,3.53125,0.9952666362171313,0.09718190589320902
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,3.5625,0.6195206125592099,0.7849803886813105
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,3.59375,0.3258098052199642,0.9454353340247703
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,3.625,0.9715921906288022,0.23666139336428604
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,3.65625,0.7240971967004738,0.689697940935389
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,3.6875,0.1891294205289584,0.9819521690440836
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,3.71875,0.9284713207390763,0.3714041014380902
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,3.75,0.8141809705265618,0.5806111842123143
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,3.78125,0.04866360920015389,0.9988152247235795
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,3.8125,0.8667670910519801,0.4987131538963941
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,3.84375,0.8879689066918555,0.45990349068959124
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,3.875,0.09277620459766088,0.9956869868891794
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,3.90625,0.7877145121442345,0.6160404591886565
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,3.9375,0.9439841391523142,0.329990825673782
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,3.96875,0.23235910202965793,0.972630067242408
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,4.0,0.6928958219201651,0.7210377105017316
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,4.03125,0.9811055226493881,0.19347339203846847
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,4.0625,0.3672913304546965,0.9301059501867618
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,4.09375,0.5842088171092893,0.8116033871367005
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,4.125,0.9985900724399912,0.05308358714605824
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,4.15625,0.4948722204034305,0.8689657562142357
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,4.1875,0.4638288688518717,0.8859248164599484
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,4.21875,0.9960878351411849,0.08836868610400143
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,4.25,0.6125482394960996,0.7904332067228887
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,4.28125,0.33416538263076073,0.9425144545582509
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,4.3125,0.9736488930495181,0.2280522595008612
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,4.34375,0.717964101410472,0.6960801312247415
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,4.375,0.19781357400426822,0.9802396594403116
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,4.40625,0.9317223617435201,0.363171365373259
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,4.4375,0.8090099069535975,0.5877950071674065
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,4.46875,0.05750252534912421,0.9983453608739179
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,4.5,0.8711474010323434,0.49102159389846933
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,4.53125,0.8838633737085002,0.4677451620451334
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,4.5625,0.08395943674184847,0.9964691731217737
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,4.59375,0.7931364191664784,0.6090440218832924
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,4.625,0.9410263090291437,0.3383333943242765
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,4.65625,0.22374095013558368,0.9746486480944947
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,4.6875,0.6992508064783751,0.7148764296291646
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,4.71875,0.9793545963764285,0.20214988141565363
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,4.75,0.35904428689111606,0.933320523748862
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,4.78125,0.5913696841443247,0.8064005807754863
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,4.8125,0.9980810948185003,0.06192033725605731
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,4.84375,0.48716134980334147,0.8733119827746476
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,4.875,0.47165229356133864,0.8817846188147811
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,4.90625,0.9968309933617175,0.0795485428747221
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,4.9375,0.6055278749869898,0.7958240965274552
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,4.96875,0.34249477911590703,0.9395197317131483
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,5.0,0.9756293127952373,0.21942525837900473
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,5.03125,0.7117747556357236,0.702407785577371
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,5.0625,0.20648222933781113,0.9784503507933796
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,5.09375,0.9349004048997503,0.35491017584493534
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,5.125,0.803775459710974,0.5949327780232085
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,5.15625,0.06633693633562374,0.9977972794498907
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,5.1875,0.875459459043705,0.48329156372825655
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,5.21875,0.8796885924951523,0.47555018687189876
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,5.25,0.07513609089835323,0.9971732887740798
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,5.28125,0.7984961861625556,0.6019998676776046
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,5.3125,0.9379947521194415,0.3466494554970303
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,5.34375,0.21510526876214117,0.9765908679435658
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,5.375,0.7055510066862999,0.7086591401823227
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,5.40625,0.9775269404025313,0.2108105329134813
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,5.4375,0.3507691132091307,0.9364619742512132
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,5.46875,0.5984842190140996,0.8011345951780408
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,5.5,0.9974939203271522,0.07075223608034517
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,5.53125,0.47941231147032193,0.8775897877771157
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,5.5625,0.4794387656291727,0.8775753358042688
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,5.59375,0.9974960526543551,0.07072216723899125
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,5.625,0.5984600690578581,0.8011526357338304
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,5.65625,0.3507973420904214,0.936451400117644
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,5.6875,0.9775332947055968,0.21078106590019152
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,5.71875,0.7055296442942061,0.7086804082392084
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,5.75,0.21513470736462095,0.9765843832906294
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,5.78125,0.9380052012169503,0.346621180094276
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,5.8125,0.7984780389030323,0.6020239375552833
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,5.84375,0.07516615000819327,0.997171023392149
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,5.875,0.879702927248347,0.47552366901205834
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,5.90625,0.8754448901342752,0.48331795366796265
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,5.9375,0.06630685835171127,0.9977992786806003
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,5.96875,0.8037933932096717,0.594908548461427
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,6.0,0.9348897059372352,0.3549383576518463
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,6.03125,0.20645273449087873,0.9784565746221131
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,6.0625,0.711795928940826,0.7023863292684921
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,6.09375,0.9756226979194443,0.21945466799406363
