instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,feature0,feature1,feature2,feature3,feature4
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,1.96875,0.9858965815825497,0.16735570030280691,4.143134726391533,7.937253933193772
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2.0,0.39185723042955,0.9200260381967907,4.1588830833596715,8.0
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,2.03125,0.562453851238172,0.8268286794901034,4.174387269895637,8.06225774829855
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2.0625,0.99964745596635,0.026551154023966794,4.189654742026425,8.12403840463596
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2.09375,0.5177697997895051,0.8555199789753223,4.204692619390966,8.18535277187245
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2.125,0.4401430224960407,0.8979276806892913,4.219507705176107,8.246211251235321
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2.15625,0.9933903797222716,0.11478481378318722,4.23410650459726,8.306623862918075
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2.1875,0.6333192030862999,0.7738906815578891,4.248495242049359,8.366600265340756
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2.21875,0.3090227281660707,0.9510546532543747,4.2626798770413155,8.426149773176359
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2.25,0.9672505882738824,0.25382336276203626,4.276666119016055,8.48528137423857
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2.28125,0.7361927182273159,0.6767719568873076,4.290459441148391,8.54400374531753
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2.3125,0.17171734183077755,0.9851462604682474,4.30406509320417,8.602325267042627
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2.34375,0.9217512697247493,0.38778163540943045,4.31748811353631,8.660254037844387
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2.375,0.8243313311075577,0.5661076368981803,4.330733340286331,8.717797887081348
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2.40625,0.03097503173121646,0.9995201585807313,4.343805421853684,8.774964387392123
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2.4375,0.8578030932449878,0.5139784559875352,4.356708826689592,8.831760866327848
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2.46875,0.8959709467909631,0.4441126687075084,4.3694478524670215,8.888194417315589
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2.5,0.11038724383904756,0.9938886539233752,4.382026634673881,8.94427190999916
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2.53125,0.7766859820216312,0.6298879942744539,4.394449154672439,9.0
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2.5625,0.9496776978825432,0.31322878243308516,4.406719247264253,9.055385138137417
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2.59375,0.24954011797333814,0.9683644611001854,4.418840607796598,9.1104335791443
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2.625,0.6800234955873388,0.7331903200732922,4.430816798843313,9.16515138991168
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2.65625,0.9843766433940419,0.1760756199485871,4.442651256490317,9.219544457292887
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2.6875,0.38369844494974187,0.9234584470040598,4.454347296253507,9.273618495495704
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2.71875,0.569750334265312,0.8218178366308225,4.465908118654584,9.327379053088816
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2.75,0.9993732836951247,0.03539830273366068,4.477336814478207,9.38083151964686
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2.78125,0.5101770449416689,0.8600694058124532,4.48863636973214,9.433981132056603
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,2.8125,0.4480736161291701,0.8939966636005579,4.499809670330265,9.486832980505138
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2.84375,0.9943674609282015,0.10598751175115685,4.51085950651685,9.539392014169456
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2.875,0.626444447910339,0.7794660696158047,4.5217885770490405,9.591663046625438
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,2.90625,0.31742870151970165,0.9482821412699473,4.532599493153256,9.643650760992955
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2.9375,0.9694593666699876,0.24525198546765434,4.543294782270004,9.695359714832659
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2.96875,0.7301735609948197,0.683261714736121,4.553876891600541,9.746794344808963
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,3.0,0.18043044929108396,0.9835877454343449,4.564348191467836,9.797958971132712
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,3.03125,0.9251475365964139,0.3796077390275217,4.574710978503383,9.848857801796104
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,3.0625,0.8192882452914593,0.5733818719904229,4.584967478670572,9.899494936611665
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,3.09375,0.0398208803931389,0.9992068341863537,4.59511985013459,9.9498743710662
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,3.125,0.8623188722876839,0.5063656411097588,4.605170185988092,10.0
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,3.15625,0.8920048697881602,0.45202578717835057,4.61512051684126,10.04987562112089
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,3.1875,0.10158570369662134,0.9948267913584063,4.624972813284271,10.099504938362077
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,3.21875,0.7822308898871159,0.6229886314423488,4.634728988229636,10.14889156509222
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,3.25,0.9468680107512125,0.32162240316253093,4.6443908991413725,10.198039027185569
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,3.28125,0.24095904923620143,0.9705352835374847,4.653960350157523,10.246950765959598
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,3.3125,0.6864865509069841,0.7271425000808526,4.663439094112067,10.295630140987
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,3.34375,0.9827795820412206,0.18478174456066745,4.672828834461906,10.344080432788601
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,3.375,0.3755095977670121,0.926818505417785,4.68213122712422,10.392304845413264
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,3.40625,0.577002178942952,0.8167426066363169,4.6913478822291435,10.44030650891055
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,3.4375,0.999020813314648,0.044242678085070965,4.700480365792417,10.488088481701515
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,3.46875,0.5025443191453852,0.8645514486106083,4.709530201312334,10.535653752852738
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,3.5,0.4559691044442761,0.8899956043668333,4.718498871295094,10.583005244258363
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,3.53125,0.9952666362171313,0.09718190589320902,4.727387818712341,10.63014581273465
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,3.5625,0.6195206125592099,0.7849803886813105,4.736198448394496,10.677078252031311
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,3.59375,0.3258098052199642,0.9454353340247703,4.74493212836325,10.723805294763608
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,3.625,0.9715921906288022,0.23666139336428604,4.7535901911063645,10.770329614269007
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,3.65625,0.7240971967004738,0.689697940935389,4.762173934797756,10.816653826391969
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,3.6875,0.1891294205289584,0.9819521690440836,4.770684624465665,10.862780491200215
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,3.71875,0.9284713207390763,0.3714041014380902,4.77912349311153,10.908712114635714
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,3.75,0.8141809705265618,0.5806111842123143,4.787491742782046,10.954451150103322
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,3.78125,0.04866360920015389,0.9988152247235795,4.795790545596741,11.0
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,3.8125,0.8667670910519801,0.4987131538963941,4.804021044733257,11.045361017187261
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,3.84375,0.8879689066918555,0.45990349068959124,4.812184355372417,11.090536506409418
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,3.875,0.09277620459766088,0.9956869868891794,4.820281565605037,11.135528725660043
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,3.90625,0.7877145121442345,0.6160404591886565,4.8283137373023015,11.180339887498949
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,3.9375,0.9439841391523142,0.329990825673782,4.836281906951478,11.224972160321824
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,3.96875,0.23235910202965793,0.972630067242408,4.844187086458591,11.269427669584644
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,4.0,0.6928958219201651,0.7210377105017316,4.852030263919617,11.313708498984761
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,4.03125,0.9811055226493881,0.19347339203846847,4.859812404361672,11.357816691600547
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,4.0625,0.3672913304546965,0.9301059501867618,4.867534450455582,11.40175425099138
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,4.09375,0.5842088171092893,0.8116033871367005,4.875197323201151,11.445523142259598
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,4.125,0.9985900724399912,0.05308358714605824,4.882801922586371,11.489125293076057
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,4.15625,0.4948722204034305,0.8689657562142357,4.890349128221754,11.532562594670797
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,4.1875,0.4638288688518717,0.8859248164599484,4.897839799950911,11.575836902790225
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,4.21875,0.9960878351411849,0.08836868610400143,4.90527477843843,11.61895003862225
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,4.25,0.6125482394960996,0.7904332067228887,4.912654885736052,11.661903789690601
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,4.28125,0.33416538263076073,0.9425144545582509,4.919980925828125,11.704699910719626
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,4.3125,0.9736488930495181,0.2280522595008612,4.927253685157205,11.74734012447073
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,4.34375,0.717964101410472,0.6960801312247415,4.9344739331306915,11.789826122551595
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,4.375,0.19781357400426822,0.9802396594403116,4.941642422609304,11.832159566199232
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,4.40625,0.9317223617435201,0.363171365373259,4.948759890378168,11.874342087037917
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,4.4375,0.8090099069535975,0.5877950071674065,4.955827057601261,11.916375287812984
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,4.46875,0.05750252534912421,0.9983453608739179,4.962844630259907,11.958260743101398
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,4.5,0.8711474010323434,0.49102159389846933,4.969813299576001,12.0
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,4.53125,0.8838633737085002,0.4677451620451334,4.976733742420574,12.041594578792296
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,4.5625,0.08395943674184847,0.9964691731217737,4.983606621708336,12.083045973594572
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,4.59375,0.7931364191664784,0.6090440218832924,4.990432586778736,12.12435565298214
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,4.625,0.9410263090291437,0.3383333943242765,4.997212273764115,12.165525060596439
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,4.65625,0.22374095013558368,0.9746486480944947,5.003946305945459,12.206555615733702
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,4.6875,0.6992508064783751,0.7148764296291646,5.0106352940962555,12.24744871391589
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,4.71875,0.9793545963764285,0.20214988141565363,5.017279836814924,12.288205727444508
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,4.75,0.35904428689111606,0.933320523748862,5.0238805208462765,12.328828005937952
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,4.78125,0.5913696841443247,0.8064005807754863,5.030437921392435,12.36931687685298
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,4.8125,0.9980810948185003,0.06192033725605731,5.0369526024136295,12.409673645990857
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,4.84375,0.48716134980334147,0.8733119827746476,5.043425116919247,12.449899597988733
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,4.875,0.47165229356133864,0.8817846188147811,5.049856007249537,12.489995996796797
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,4.90625,0.9968309933617175,0.0795485428747221,5.056245805348308,12.529964086141668
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,4.9375,0.6055278749869898,0.7958240965274552,5.062595033026967,12.569805089976535
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,4.96875,0.34249477911590703,0.9395197317131483,5.0689042022202315,12.609520212918492
